cycle	Zbar1	Gbar1	VP1	VG1	h21	Zbar2	Gbar2	VP2	VG2	h22	h2b	h2b_denom	h2w	Qst	Fst
20000	-0.0195988	0.0653502	4.0567	2.11949	0.522467	-2.05422	0.0155669	3.85535	2.04155	0.529537	0.000598687	2.06984	0.525912	0.000148956	0.000367626
20001	-0.0140668	0.0422366	3.76009	1.76628	0.469745	-1.96337	0.0526392	3.91789	1.87422	0.478373	2.84791e-05	1.8999	0.474148	7.43497e-06	0.000680626
20002	0.0265638	0.0667218	3.38589	1.8077	0.533893	-1.83848	0.100552	3.82946	1.73398	0.4528	0.00032902	1.7392	0.490854	8.08192e-05	0.000893357
20003	0.0190417	-0.0405667	3.6883	1.90025	0.51521	-1.98117	0.108763	4.23691	1.98468	0.468426	0.00557363	2.00043	0.490199	0.00143365	0.00113752
20004	-0.110699	-0.0148823	4.10139	1.94321	0.473793	-1.82425	0.202493	3.9038	1.95624	0.501111	0.0160927	1.46813	0.487115	0.00302176	0.00137973
20005	-0.0565341	-0.000780973	3.77963	1.7728	0.46904	-1.66148	0.275772	3.94919	1.8948	0.479796	0.0296919	1.28792	0.474536	0.00518886	0.00158777
20006	0.0498781	0.0254971	3.61921	1.71852	0.474832	-1.6924	0.338327	3.4623	1.68529	0.486753	0.0322388	1.51777	0.48066	0.00713998	0.00183784
20007	-0.0857641	-0.0300745	3.93513	1.73022	0.439684	-1.65688	0.355016	3.64389	1.74307	0.478354	0.0600767	1.23421	0.458276	0.0105664	0.00213333
20008	0.0522918	-9.41245e-06	3.8244	1.6719	0.437167	-1.64128	0.428199	3.84917	1.75913	0.457015	0.0639298	1.43409	0.447123	0.013191	0.0024019
20009	-0.0431924	-0.0544154	3.86246	1.6962	0.439151	-1.46684	0.499111	3.85211	1.75733	0.456199	0.151172	1.01339	0.447664	0.0217089	0.00259765
20010	-0.0445595	-0.046943	3.39938	1.72985	0.50887	-1.57508	0.477196	3.79302	1.77769	0.468673	0.117278	1.17124	0.487672	0.0192142	0.00280515
20011	-0.0182245	-0.0483667	3.54848	1.73927	0.490145	-1.42225	0.550492	4.12926	1.95514	0.473485	0.181927	0.985645	0.481185	0.0237051	0.00307926
20012	-0.00967596	-0.0555885	3.8228	1.80105	0.471135	-1.44139	0.545622	4.02369	2.01581	0.500985	0.176335	1.02491	0.486442	0.0231386	0.00331379
20013	-0.0381585	-0.0906377	3.68186	1.60394	0.435632	-1.45155	0.5783	3.60465	1.90087	0.527337	0.223998	0.998841	0.480999	0.0309466	0.00365943
20014	-0.0134183	-0.0807602	3.61324	1.56951	0.434378	-1.34093	0.565015	4.02316	1.86626	0.463879	0.23664	0.881139	0.44992	0.0294651	0.00402565
20015	-0.0269782	-0.0863636	3.8109	1.58693	0.416419	-1.37365	0.565376	3.80297	1.72158	0.452692	0.23422	0.906766	0.434537	0.0311134	0.00425407
20016	-0.0458184	-0.123969	3.70441	1.77122	0.478138	-1.31221	0.581876	3.49096	1.57332	0.450685	0.310656	0.801879	0.464819	0.0359212	0.00449441
20017	-0.0665898	-0.1213	4.00486	1.85239	0.462535	-1.31743	0.641286	3.96154	1.78926	0.451659	0.371682	0.782305	0.457126	0.0384085	0.00473021
20018	-0.220825	-0.166034	3.47924	1.74045	0.500238	-1.32181	0.661895	3.93492	1.86326	0.47352	0.565488	0.606084	0.486058	0.0454158	0.00502551
20019	-0.187486	-0.151142	4.0946	1.84481	0.450546	-1.29026	0.731149	3.65339	1.80621	0.494393	0.640108	0.608051	0.471221	0.0506295	0.00527604
20020	-0.0549633	-0.114455	3.93187	1.95679	0.497674	-1.26244	0.782941	3.74324	1.79376	0.479202	0.552342	0.729005	0.488665	0.0509695	0.00553632
20021	0.0338782	-0.0444821	4.21423	1.88883	0.448204	-1.0875	0.944219	3.66103	1.67376	0.457182	0.777373	0.62874	0.452378	0.0642234	0.00582679
20022	-0.0114714	-0.000348584	4.00278	1.95386	0.488125	-0.932992	0.917352	3.70867	1.63197	0.440041	0.991728	0.4246	0.465	0.0554855	0.00597268
20023	0.0897674	0.0773777	3.9178	1.99466	0.509128	-1.08394	0.901824	3.70057	1.82071	0.492009	0.493405	0.688797	0.500813	0.042659	0.00623632
20024	0.0369843	0.0382572	3.89783	1.91782	0.492023	-1.01629	0.903911	3.88367	1.87092	0.481741	0.675475	0.554689	0.486891	0.047139	0.00643166
20025	0.0366695	0.0700051	4.27627	2.08802	0.488282	-1.05717	0.969122	3.9866	1.90228	0.477168	0.675651	0.598246	0.48292	0.0482299	0.00655159
20026	0.0446702	0.0938274	3.92793	1.94307	0.49468	-0.898886	1.06888	4.022	1.66858	0.414862	1.06788	0.445149	0.454299	0.0617758	0.00687573
20027	0.14011	0.151444	3.71658	1.87905	0.505585	-0.903459	1.09923	3.57471	1.67914	0.469727	0.824849	0.544518	0.488005	0.0593954	0.00713865
20028	0.0363169	0.136578	3.90881	1.79564	0.459383	-0.869186	1.11629	3.59729	1.69724	0.471811	1.17062	0.409968	0.465339	0.0643133	0.00719397
20029	0.13495	0.150518	3.98427	1.83656	0.460953	-0.776998	1.2191	3.92028	1.82015	0.464291	1.37303	0.415824	0.462608	0.0724475	0.00736126
20030	0.137648	0.0769176	3.79293	1.77532	0.46806	-0.738091	1.22631	3.76711	1.82748	0.485115	1.72261	0.383459	0.476558	0.0840123	0.00752393
20031	0.0561941	0.120277	3.64663	1.76956	0.48526	-0.778141	1.23115	3.89552	1.87639	0.481679	1.77277	0.348057	0.483411	0.0780522	0.00778371
20032	0.147241	0.13911	4.00721	1.80971	0.451613	-0.754157	1.2379	3.5576	1.70648	0.479671	1.48593	0.406259	0.464808	0.0790919	0.00814103
20033	0.105142	0.106466	3.78285	1.7688	0.467585	-0.71031	1.24649	3.67786	1.73052	0.470523	1.95448	0.332481	0.469033	0.0850007	0.00852493
20034	0.0616843	0.0466322	4.10764	1.83457	0.446623	-0.71576	1.25396	3.97018	1.74292	0.439002	2.41164	0.30221	0.442877	0.0924876	0.00871343
20035	0.115322	0.118591	4.04219	2.0162	0.498791	-0.733123	1.26332	3.52533	1.77929	0.504716	1.82038	0.359929	0.501551	0.0794923	0.00881734
20036	0.170264	0.13461	3.88694	1.96852	0.506445	-0.743828	1.27496	3.64591	1.64278	0.450582	1.55632	0.417782	0.479408	0.0826265	0.00915156
20037	0.175799	0.101592	4.14044	1.84887	0.44654	-0.785107	1.26655	3.82894	1.65486	0.432197	1.46981	0.461671	0.439649	0.0883261	0.00934992
20038	0.120534	0.0915832	3.81975	1.85118	0.484635	-0.662077	1.27294	3.66477	1.70505	0.465254	2.2786	0.306241	0.475145	0.0893844	0.00958552
20039	0.0542058	0.02107	4.10766	1.89233	0.460685	-0.687033	1.28747	4.06118	1.73618	0.427506	2.91895	0.274718	0.44419	0.0995478	0.0100312
20040	0.0436202	-0.00596261	3.66268	1.7423	0.475689	-0.743703	1.35168	3.66111	1.88355	0.514476	2.97347	0.309939	0.495078	0.112807	0.0101924
20041	-0.0264214	0.0393713	3.69511	1.78625	0.483408	-0.571769	1.42995	3.70825	1.83284	0.494259	6.502	0.148702	0.488843	0.11789	0.0105032
20042	0.161728	0.0578386	3.9034	1.9239	0.492877	-0.493082	1.50245	3.7717	1.97279	0.523051	4.86712	0.214388	0.507705	0.118132	0.0106438
20043	-0.047975	-0.0149857	3.90397	1.96782	0.504055	-0.346441	1.58763	3.92753	1.8721	0.476662	28.8315	0.0445409	0.490317	0.143321	0.0109149
20044	-0.0599105	-0.00456673	3.87986	1.91881	0.494556	-0.355445	1.59017	3.8459	1.73907	0.452188	29.1182	0.0436702	0.473465	0.148141	0.0111657
20045	-0.0292714	-0.0740063	3.84695	1.81732	0.472404	-0.448542	1.55733	3.87364	1.93951	0.500695	15.1391	0.0878937	0.486598	0.150515	0.0112932
