cycle	Zbar1	Gbar1	VP1	VG1	h21	Zbar2	Gbar2	VP2	VG2	h22	h2b	h2b_denom	h2w	Qst	Fst
20000	0.0982195	0.0979979	3.7807	1.93795	0.512589	-1.98748	0.0383883	3.93477	1.80994	0.459987	0.000816821	2.17508	0.485763	0.000237083	0.000409941
20001	0.233913	0.198049	3.76572	1.94393	0.516216	-2.03583	-0.0151593	3.99301	2.03409	0.509414	0.00882378	2.57588	0.512715	0.00285011	0.000673444
20002	0.278489	0.196747	3.70951	1.91081	0.515112	-1.98451	0.0298507	3.81301	1.92963	0.506064	0.00543908	2.56058	0.510526	0.00181085	0.000922495
20003	0.162641	0.158231	3.84744	2.00921	0.522219	-1.87923	0.124384	3.67834	1.82978	0.497448	0.000274791	2.08462	0.510112	7.46394e-05	0.00117723
20004	0.194978	0.169545	4.11273	2.08513	0.506993	-1.94251	0.166548	4.03289	1.82945	0.453633	1.96561e-06	2.28444	0.480575	5.73825e-07	0.00143454
20005	0.0941248	0.140837	4.17195	2.01613	0.483257	-1.85554	0.189354	4.27257	2.06495	0.483303	0.000619254	1.90059	0.483281	0.000144247	0.00170215
20006	0.147798	0.129136	3.82718	1.9485	0.509122	-1.81375	0.181176	3.91137	1.96786	0.503113	0.000703839	1.92383	0.506085	0.000172929	0.00199304
20007	0.149523	0.142798	3.93555	2.09265	0.531731	-1.72348	0.296207	3.90758	2.21505	0.566859	0.0067085	1.75407	0.549232	0.00136465	0.00224786
20008	0.142568	0.121731	3.99979	2.04866	0.512192	-1.70311	0.337552	4.25176	2.09634	0.493053	0.0136734	1.70327	0.50233	0.00280286	0.00254083
20009	0.252936	0.230392	4.22022	2.04463	0.484484	-1.55771	0.406304	4.14037	2.04082	0.492908	0.00943907	1.63921	0.488656	0.00189099	0.00279617
20010	0.249651	0.205828	4.1175	2.0835	0.506011	-1.53063	0.4707	4.09218	1.96827	0.480985	0.0221359	1.58469	0.493537	0.00431229	0.00302317
20011	0.198919	0.202173	3.78177	1.93176	0.510808	-1.43962	0.497546	4.09227	2.0089	0.4909	0.0324957	1.34241	0.500462	0.00550722	0.00330957
20012	0.183668	0.198334	4.13359	1.91625	0.46358	-1.41461	0.581178	3.85159	2.03973	0.529581	0.0573773	1.27724	0.495415	0.00918204	0.00351177
20013	0.146857	0.112721	3.8034	1.82909	0.48091	-1.36987	0.672052	4.02696	2.04532	0.507908	0.135995	1.15023	0.494794	0.0197973	0.00372687
20014	0.103717	0.128758	3.46596	1.69775	0.489836	-1.24258	0.700648	4.49448	2.00073	0.445153	0.180445	0.906256	0.464608	0.0216401	0.00394121
20015	0.154184	0.133255	3.84325	1.96401	0.511028	-1.23339	0.755697	3.93801	1.93014	0.490131	0.201227	0.962678	0.500452	0.024281	0.0042424
20016	0.102658	0.127079	3.97728	1.99502	0.501603	-1.09346	0.910935	4.08611	1.91654	0.469037	0.429462	0.715351	0.4851	0.0378046	0.00460758
20017	0.191059	0.154793	4.11177	1.9426	0.472448	-1.06782	0.959355	3.87324	1.92871	0.497957	0.408461	0.792388	0.484821	0.0401444	0.0048609
20018	0.197914	0.165269	4.00806	2.12233	0.529516	-0.955403	1.04381	4.23481	2.00168	0.472673	0.580265	0.665069	0.500313	0.044719	0.00499925
20019	0.158713	0.193367	4.01858	2.04218	0.508186	-0.947199	1.06031	4.12805	2.07549	0.502779	0.61452	0.61152	0.505446	0.043661	0.0052759
20020	0.149872	0.188383	3.76238	1.9095	0.507525	-0.880897	1.0661	3.98991	1.984	0.497254	0.725074	0.531242	0.502239	0.0471567	0.00559717
20021	0.113274	0.10706	3.9662	1.93083	0.486821	-0.936236	1.14451	4.20549	2.05226	0.487994	0.977155	0.550735	0.487425	0.0633097	0.00574684
20022	0.0789531	0.122031	3.81371	1.90229	0.498804	-0.824761	1.20137	3.88	1.94847	0.502183	1.42645	0.408349	0.500508	0.0703475	0.00597162
20023	0.131567	0.13686	3.89809	2.05855	0.528092	-0.75009	1.26846	3.74568	1.90896	0.509642	1.64736	0.38866	0.519051	0.0746986	0.00625939
20024	0.162255	0.195638	3.79287	1.95076	0.514323	-0.721518	1.29828	3.91139	1.8988	0.485454	1.55663	0.390527	0.499666	0.0732137	0.00659437
20025	0.213705	0.207305	3.86344	2.13319	0.552149	-0.666996	1.28001	4.14253	1.95329	0.471521	1.48355	0.387818	0.51043	0.0657975	0.00681986
20026	0.276538	0.26152	4.08361	2.07835	0.508949	-0.765538	1.24409	4.09441	2.14569	0.524052	0.889053	0.542962	0.516511	0.0540769	0.00704223
20027	0.203167	0.237959	3.76569	1.93843	0.514763	-0.867526	1.19215	3.95513	2.05358	0.51922	0.794226	0.573192	0.517046	0.0539691	0.00734419
20028	0.277181	0.264463	3.75803	1.8603	0.49502	-0.920339	1.13713	4.26759	2.09023	0.489792	0.53104	0.717028	0.49224	0.0459986	0.00761679
20029	0.315492	0.300529	3.73	1.77446	0.475726	-0.810408	1.15551	4.12322	1.98945	0.482499	0.576645	0.633825	0.479282	0.0463262	0.00796879
20030	0.227293	0.279917	3.54763	1.7448	0.491822	-0.829756	1.20703	3.88053	1.95336	0.503375	0.769268	0.558676	0.497857	0.0549412	0.00826595
20031	0.182419	0.216723	4.16384	2.04284	0.490613	-0.773467	1.26323	3.94632	1.86693	0.473081	1.19859	0.456859	0.482082	0.0654756	0.00842864
20032	0.233157	0.187227	4.18251	1.95784	0.468102	-0.645211	1.35562	3.9748	1.83732	0.462243	1.76939	0.385765	0.465247	0.0825446	0.0086554
20033	0.271018	0.194181	3.70507	1.79919	0.485601	-0.580186	1.40225	3.79814	1.89574	0.499123	2.01427	0.362274	0.492446	0.0899123	0.00905384
20034	0.159274	0.174597	3.67657	1.78164	0.484592	-0.552769	1.43936	4.02216	1.97225	0.490346	3.15503	0.253503	0.487598	0.096318	0.00944201
20035	0.178859	0.110073	3.90949	1.79154	0.458254	-0.45562	1.52321	3.89716	1.96782	0.504938	4.96063	0.201281	0.481559	0.117283	0.00981394
20036	0.123514	0.15952	3.70393	1.90194	0.513491	-0.420747	1.56598	4.03001	1.87882	0.466207	6.67789	0.14811	0.488852	0.115724	0.00999074
20037	0.153393	0.124078	4.19225	1.96373	0.468419	-0.504894	1.51439	4.09949	1.95319	0.476446	4.46059	0.216671	0.472388	0.109872	0.0101915
20038	0.129635	0.164572	4.04098	1.94691	0.481792	-0.500994	1.52942	4.04734	1.9733	0.487554	4.68405	0.198846	0.484676	0.106229	0.0105251
20039	0.237216	0.183484	3.89944	2.02748	0.519942	-0.426797	1.55988	4.37039	1.98851	0.454996	4.29669	0.220457	0.48562	0.105539	0.0107382
20040	0.22008	0.170265	3.89426	2.01986	0.518676	-0.428291	1.59883	4.27975	1.97071	0.460472	4.85459	0.210193	0.488202	0.113409	0.0109631
20041	0.232431	0.204681	3.75031	1.92565	0.513465	-0.349082	1.69993	3.98934	2.01509	0.505119	6.61158	0.169079	0.509163	0.124272	0.011118
20042	0.335122	0.307377	4.15656	1.89168	0.455107	-0.415189	1.6432	3.73053	1.9734	0.528985	3.16968	0.281484	0.490051	0.103523	0.0115701
20043	0.296234	0.293029	3.78547	1.84604	0.487665	-0.403476	1.63815	4.09374	1.95419	0.47736	3.6956	0.244797	0.482311	0.106415	0.0118658
20044	0.325497	0.314245	3.69804	1.86951	0.505542	-0.423232	1.62429	4.12302	1.90928	0.463078	3.06143	0.280297	0.483156	0.102011	0.01191
20045	0.367651	0.328883	3.94927	1.97162	0.499237	-0.407452	1.62287	3.94691	1.9777	0.501075	2.78701	0.300392	0.500156	0.0958781	0.0120361
20046	0.405093	0.354378	3.98177	1.96298	0.492991	-0.396225	1.54917	4.10506	2.00957	0.489534	2.22317	0.321055	0.491236	0.0824693	0.0120964
20047	0.319861	0.276696	3.80065	1.89882	0.499603	-0.388995	1.55727	3.9071	2.01195	0.514948	3.26359	0.251238	0.507381	0.0949272	0.0122323
20048	0.30735	0.297894	4.1633	2.0439	0.490932	-0.427488	1.58055	3.74795	1.86625	0.49794	3.04676	0.269994	0.494252	0.0952201	0.0122846
20049	0.336921	0.268242	4.04576	2.09584	0.518032	-0.315902	1.66428	3.92101	1.92588	0.491171	4.57298	0.213089	0.504812	0.108106	0.012591
20050	0.237567	0.299354	3.96056	2.02001	0.510032	-0.284344	1.72537	3.66922	1.88884	0.514782	7.46548	0.136195	0.512316	0.115141	0.0128701
20051	0.189643	0.274338	3.70218	1.86924	0.504903	-0.24815	1.73135	3.9528	1.87338	0.473939	11.0762	0.0958312	0.488914	0.124248	0.0130189
20052	0.357663	0.299675	3.98426	1.91539	0.480738	-0.199701	1.79296	3.77977	1.92304	0.508772	7.17806	0.155327	0.494386	0.126872	0.0132693
20053	0.219975	0.271925	3.9002	1.80301	0.462285	-0.210507	1.76966	3.81945	1.90212	0.498009	12.1049	0.0926575	0.47996	0.131519	0.0134462
20054	0.231162	0.296584	3.76525	1.88932	0.501776	-0.122855	1.82985	4.01662	1.99926	0.497747	18.7579	0.062664	0.499697	0.131354	0.0136075
20055	0.33004	0.364045	3.72906	1.79796	0.482147	-0.256479	1.76814	3.99625	1.95738	0.489805	5.73097	0.172002	0.486108	0.116069	0.0139731
