cycle	Zbar1	Gbar1	VP1	VG1	h21	Zbar2	Gbar2	VP2	VG2	h22	h2b	h2b_denom	h2w	Qst	Fst
20000	-0.17825	-0.122294	3.73252	1.77492	0.475529	3.89915	-0.144425	3.82631	1.87183	0.4892	2.94603e-05	8.31261	0.482449	3.35924e-05	0.000366586
20001	-0.174912	-0.167201	4.18095	1.96536	0.470076	3.83349	-0.208228	4.18679	1.92171	0.458994	0.000104762	8.03364	0.464531	0.000108302	0.000601405
20002	-0.157626	-0.184568	3.69934	1.7679	0.477897	3.72578	-0.291214	4.28611	1.92633	0.449437	0.000754163	7.54042	0.462621	0.000769466	0.000800886
20003	-0.279894	-0.253993	3.91785	1.98127	0.505705	3.66554	-0.325651	4.1439	1.8743	0.452303	0.000329868	7.78321	0.478255	0.000333007	0.00103322
20004	-0.324663	-0.261832	3.72962	1.98349	0.531821	3.68328	-0.374743	3.7746	1.95837	0.518828	0.000793653	8.03178	0.525286	0.00080831	0.00129009
20005	-0.295334	-0.291287	4.08098	2.09685	0.513811	3.63857	-0.399746	3.782	1.90406	0.503452	0.000760132	7.73781	0.508828	0.000734881	0.00155049
20006	-0.217213	-0.23149	3.74044	2.01767	0.539419	3.49314	-0.457963	3.85261	1.8332	0.475834	0.00372565	6.88338	0.507157	0.00332038	0.00177008
20007	-0.232817	-0.183289	4.03511	1.96675	0.48741	3.51932	-0.511817	4.06662	1.96151	0.482343	0.00766633	7.03928	0.484867	0.00682541	0.00202939
20008	-0.221906	-0.233036	3.73401	1.81303	0.485546	3.41541	-0.584748	3.99663	1.92806	0.482422	0.00935002	6.61503	0.483931	0.00820268	0.00233783
20009	-0.268438	-0.297016	3.8229	2.01221	0.526357	3.47024	-0.571872	3.83016	1.9552	0.510475	0.00540474	6.98886	0.518409	0.0047402	0.00254919
20010	-0.327473	-0.299935	3.57619	1.85785	0.519504	3.39929	-0.625892	4.14831	2.06196	0.497061	0.00764991	6.94439	0.507451	0.00673408	0.00279339
20011	-0.34513	-0.366934	3.87245	1.86868	0.482558	3.31729	-0.65415	4.09847	1.833	0.447239	0.00615007	6.70667	0.464398	0.00554321	0.00298244
20012	-0.23966	-0.258874	3.84495	1.87644	0.488026	3.2546	-0.698523	3.97047	1.90702	0.480301	0.0158308	6.10492	0.484102	0.0126173	0.00318744
20013	-0.147251	-0.197883	3.86274	1.93294	0.500406	3.35248	-0.669179	3.84735	2.04315	0.531053	0.018135	6.12406	0.515699	0.0137804	0.0035064
20014	-0.183077	-0.199205	3.67982	1.87866	0.510529	3.39883	-0.653249	4.02095	1.955	0.486203	0.0160682	6.41503	0.497827	0.0132721	0.00367642
20015	-0.0858892	-0.177825	3.63086	1.77179	0.487982	3.38417	-0.686364	4.09781	1.89813	0.463207	0.0214771	6.02067	0.474846	0.0173206	0.00396882
20016	-0.193841	-0.199222	3.59957	1.79074	0.497488	3.2646	-0.715143	3.69602	1.92306	0.520306	0.0222539	5.98042	0.509048	0.0176112	0.00416841
20017	-0.241121	-0.22225	3.89683	2.00144	0.513609	3.17388	-0.77156	3.8403	1.9621	0.510925	0.0258735	5.83112	0.512277	0.018686	0.00439274
20018	-0.227985	-0.229302	3.90615	1.93588	0.4956	3.17821	-0.79315	3.80135	1.80331	0.474387	0.0274022	5.80107	0.485138	0.020824	0.00462215
20019	-0.152304	-0.192488	3.92906	1.86558	0.474815	3.13297	-0.83123	3.89643	1.97808	0.507665	0.0378014	5.3965	0.491171	0.0258633	0.00490492
