cycle	Zbar1	Gbar1	VP1	VG1	h21	Zbar2	Gbar2	VP2	VG2	h22	h2b	h2b_denom	h2w	Qst	Fst
20000	-0.250953	-0.329944	3.99555	1.82597	0.457	3.73372	-0.270194	3.94171	1.80444	0.457779	0.000224847	7.93881	0.457387	0.000245906	0.00035984
20001	-0.268317	-0.244863	3.77753	1.92133	0.50862	3.6464	-0.322181	3.8676	1.78674	0.461976	0.000390087	7.66251	0.485023	0.000403085	0.000597129
20002	-0.130441	-0.187866	3.77793	1.8238	0.482753	3.62848	-0.334579	3.32808	1.74131	0.523218	0.00152338	7.06474	0.501704	0.00150787	0.0008313
20003	-0.116797	-0.165221	4.14254	1.92598	0.464927	3.58514	-0.413261	3.84383	1.77059	0.460632	0.00448935	6.85216	0.46286	0.00414568	0.00109114
20004	-0.236591	-0.202913	3.62772	1.84099	0.507479	3.48889	-0.483221	3.72259	1.7773	0.477436	0.00566118	6.93959	0.492263	0.00540223	0.0013346
20005	-0.257038	-0.301059	3.85452	1.82426	0.473277	3.28249	-0.693607	3.68663	1.75829	0.476938	0.0122997	6.26413	0.475067	0.010644	0.00155635
20006	-0.312397	-0.338945	4.13841	2.08623	0.504114	3.3053	-0.711114	3.73401	1.80827	0.48427	0.0105832	6.54385	0.494702	0.00881738	0.00172482
20007	-0.344963	-0.328378	3.98974	2.05625	0.515386	3.22351	-0.789262	3.88717	1.77677	0.457085	0.0166808	6.36702	0.486615	0.0136717	0.00200143
20008	-0.256459	-0.221732	4.06613	1.79854	0.442322	3.15349	-0.831189	3.8637	1.89926	0.491566	0.0319441	5.81386	0.466316	0.0245088	0.00228293
20009	-0.109241	-0.199036	4.21683	1.79747	0.426261	3.12926	-0.856412	4.08804	1.84126	0.4504	0.0412041	5.24393	0.438143	0.0288484	0.00256614
20010	-0.10369	-0.153329	3.93	1.82378	0.464066	3.24743	-0.818393	3.87117	1.79709	0.464223	0.0393865	5.61501	0.464144	0.0296484	0.00285365
20011	-0.110478	-0.146121	3.65687	1.78903	0.489225	3.17675	-0.861519	3.61018	1.77216	0.490878	0.0473626	5.40294	0.490046	0.0346993	0.0030971
20012	-0.176158	-0.141898	3.41326	1.70838	0.500513	3.10438	-0.875185	3.71375	1.78346	0.480231	0.0499642	5.38096	0.489945	0.0370883	0.00334371
20013	-0.143549	-0.150124	3.91485	1.73037	0.442002	3.08073	-0.87167	3.52905	1.75609	0.497609	0.0500799	5.19798	0.468365	0.0360061	0.00354006
20014	-0.104096	-0.125067	3.54325	1.69708	0.478961	2.99496	-0.986991	3.65247	1.71719	0.470145	0.0773532	4.80209	0.474486	0.0516158	0.00377417
20015	-0.123466	-0.132383	3.77539	1.7883	0.473673	2.9823	-0.97479	3.33371	1.69961	0.509826	0.0735712	4.82288	0.490626	0.0484259	0.00402854
20016	-0.242303	-0.19321	3.92589	1.83157	0.466536	2.95821	-1.00776	3.75216	1.80488	0.481024	0.0647739	5.12163	0.473616	0.0436453	0.00428306
20017	-0.212766	-0.140264	3.96338	1.80897	0.456421	2.97993	-1.02253	3.68631	1.81349	0.491952	0.0763631	5.09667	0.473543	0.0510055	0.00457018
20018	-0.081151	-0.0959421	3.70818	1.70632	0.460149	2.98975	-0.973311	4.13597	1.8268	0.441685	0.0816269	4.71521	0.450414	0.0516796	0.00483813
20019	0.0221726	-0.0772788	3.90825	1.7771	0.454706	3.07937	-1.00192	3.90461	1.9281	0.4938	0.0914741	4.67324	0.474244	0.0545661	0.00505008
20020	-0.0692368	-0.144382	3.65534	1.72533	0.472003	3.02847	-1.0071	3.98684	1.90887	0.478793	0.077563	4.79788	0.475545	0.0487289	0.00539759
20021	-0.104451	-0.102334	4.14687	1.78964	0.431564	3.02465	-1.03232	3.58797	1.75901	0.490251	0.0883313	4.89562	0.458787	0.0574576	0.00576116
20022	-0.215218	-0.170707	3.80745	1.94103	0.5098	2.98656	-1.07479	3.78579	1.85265	0.489369	0.079733	5.1257	0.499614	0.0511354	0.00597352
20023	-0.23405	-0.231307	4.08547	1.76419	0.43182	2.88863	-1.16172	3.77665	1.83903	0.486947	0.0887761	4.87557	0.458301	0.0566859	0.00613214
20024	-0.20409	-0.234073	3.86555	1.76728	0.457188	2.83876	-1.17158	3.81381	1.88365	0.493901	0.0949264	4.62947	0.475421	0.0567948	0.00638659
20025	-0.232052	-0.21671	3.59879	1.6997	0.472297	2.68624	-1.28383	3.74092	1.73766	0.4645	0.13371	4.25822	0.468323	0.0765213	0.00663133
20026	-0.259962	-0.227419	3.26539	1.62385	0.497291	2.76639	-1.27482	4.0229	1.90312	0.473072	0.11978	4.5794	0.483923	0.0721837	0.00680689
20027	-0.16078	-0.181385	3.90397	1.79951	0.460944	2.61941	-1.31964	3.62188	1.87224	0.516926	0.167621	3.86474	0.487886	0.0811014	0.00701696
20028	-0.213674	-0.270337	3.50232	1.8015	0.514374	2.34966	-1.5592	3.59762	1.6815	0.467392	0.252813	3.28534	0.490568	0.106579	0.00734987
20029	-0.150885	-0.242419	4.0371	1.77392	0.439406	2.39429	-1.58339	3.5133	1.68709	0.480201	0.277588	3.23897	0.458388	0.115008	0.00754744
20030	-0.321154	-0.259486	3.71544	1.84014	0.495267	2.45508	-1.61482	3.89464	1.65312	0.42446	0.23833	3.85374	0.45903	0.116239	0.00787469
20031	-0.291354	-0.220677	3.89043	1.80875	0.464922	2.4023	-1.62508	3.44487	1.72616	0.50108	0.271833	3.62787	0.481903	0.122469	0.00809204
20032	-0.174401	-0.204362	3.82006	1.81598	0.475381	2.42041	-1.64992	3.77225	1.78624	0.473522	0.310356	3.36652	0.474457	0.126711	0.0084229
20033	-0.0980079	-0.148067	3.88094	1.87258	0.482506	2.30625	-1.72044	3.74008	1.79111	0.478895	0.427708	2.89023	0.480734	0.144415	0.00864255
20034	-0.126274	-0.138297	3.91815	1.81645	0.4636	2.28038	-1.74689	4.03013	1.78986	0.444119	0.446751	2.896	0.453723	0.15216	0.00882481
20035	-0.0200786	-0.0971296	3.84017	1.79433	0.467252	2.235	-1.76215	3.64309	1.75006	0.480377	0.545146	2.5427	0.473642	0.163627	0.0091982
20036	-0.150858	-0.152661	3.80758	1.69461	0.445063	2.2823	-1.69628	3.67123	1.65376	0.450466	0.402475	2.96014	0.447715	0.151099	0.00955353
20037	-0.243144	-0.17799	3.6143	1.78919	0.49503	2.41353	-1.64348	3.9384	1.90215	0.482976	0.30429	3.52895	0.488744	0.127037	0.00991087
20038	-0.236247	-0.211861	3.88436	1.76057	0.453246	2.43049	-1.60843	3.75382	1.90502	0.507488	0.274262	3.55574	0.479904	0.117456	0.00994881
20039	-0.270404	-0.255565	3.86781	1.76794	0.457091	2.35135	-1.67293	4.19375	1.83969	0.438673	0.292269	3.43679	0.44751	0.122256	0.0101418
20040	-0.338309	-0.273413	3.63112	1.76557	0.486233	2.35465	-1.68808	3.97028	1.91929	0.483415	0.275965	3.626	0.484761	0.119599	0.0103938
20041	-0.217322	-0.242	3.71024	1.66981	0.450055	2.38596	-1.69685	3.75455	1.83854	0.489682	0.312316	3.38854	0.469986	0.131115	0.0107122
20042	-0.30644	-0.23202	3.63632	1.75955	0.483882	2.38769	-1.66808	3.57277	1.73184	0.484733	0.284124	3.62918	0.484304	0.128725	0.011021
20043	-0.121248	-0.178129	3.74624	1.81577	0.48469	2.33561	-1.69382	3.60649	1.78615	0.495259	0.380593	3.01808	0.489874	0.137582	0.0113117
20044	-0.116507	-0.190417	3.79132	1.76199	0.464743	2.23589	-1.74671	3.78902	1.67465	0.441976	0.437685	2.76688	0.453363	0.149863	0.011614
20045	-0.183213	-0.129476	3.71307	1.69021	0.455206	2.20767	-1.79162	3.38378	1.60787	0.475171	0.483303	2.85816	0.464725	0.173228	0.0118958
20046	-0.0778147	-0.0658696	3.86685	1.79368	0.463859	2.19728	-1.73488	3.9496	1.80584	0.457221	0.53817	2.58802	0.460505	0.162175	0.0124376
20047	-0.0248433	0.0117622	3.78739	1.70653	0.45058	2.23958	-1.79796	4.02933	1.95587	0.485408	0.638723	2.5638	0.468533	0.18279	0.0127413
20048	0.0992617	0.0378923	3.56851	1.80583	0.506048	2.06474	-1.84562	3.96397	1.82177	0.459583	0.918337	1.93155	0.481596	0.196535	0.0129325
20049	0.0723848	0.0632825	3.46338	1.6721	0.482793	2.15512	-1.82764	3.55652	1.84019	0.517412	0.824287	2.16889	0.500332	0.202953	0.0131976
20050	0.0359452	0.00769782	3.53619	1.78734	0.505442	2.13795	-1.87478	4.10775	1.91667	0.466597	0.80204	2.20921	0.484567	0.193095	0.013591
20051	-0.042937	-0.0485469	3.64805	1.68382	0.461569	2.12751	-1.89615	3.97519	1.89888	0.477682	0.724639	2.35541	0.469971	0.192456	0.0139387
20052	-0.00219428	-0.0416093	3.67548	1.64134	0.446564	2.02279	-1.92531	4.01717	2.02874	0.505016	0.865327	2.05027	0.477088	0.194735	0.0139976
20053	-0.0193853	-0.074731	3.50106	1.64769	0.470625	2.08386	-1.89829	3.96024	1.80888	0.456761	0.751726	2.21182	0.463267	0.193958	0.0143757
20054	-0.0214187	-0.0372959	3.45259	1.51602	0.439097	2.26615	-1.83466	4.08151	1.85942	0.455571	0.61734	2.61649	0.448022	0.193149	0.014793
20055	-0.118381	-0.0870082	3.79591	1.58866	0.418519	2.23145	-1.86146	3.65319	1.73594	0.475186	0.570237	2.76085	0.44631	0.191521	0.0150537
20056	-0.106327	-0.0850844	3.93771	1.604	0.407344	2.20638	-1.81803	3.57327	1.69614	0.474674	0.561474	2.67431	0.439375	0.185411	0.0154509
