cycle	Zbar1	Gbar1	VP1	VG1	h21	Zbar2	Gbar2	VP2	VG2	h22	h2b	h2b_denom	h2w	Qst	Fst
20000	0.131545	0.133431	3.8195	1.92084	0.502902	-2.01605	-0.0338473	3.75987	1.82396	0.485113	0.00606704	2.30608	0.494077	0.00186552	0.00035702
20001	0.0901369	0.103356	3.79564	1.88471	0.496546	-2.10998	0.0248498	3.75361	1.85551	0.494328	0.00127327	2.42025	0.495443	0.000411994	0.000585271
20002	0.0403356	0.0893462	3.89958	1.89331	0.485516	-1.92104	0.0938644	4.15383	1.84069	0.443131	5.30658e-06	1.9235	0.463655	1.36747e-06	0.000875434
20003	0.0655593	0.103121	3.73199	1.91178	0.512268	-1.95953	0.0867178	3.90656	1.97024	0.504342	6.56127e-05	2.05049	0.508214	1.73367e-05	0.00107874
20004	0.0286454	0.0155586	4.02061	1.93026	0.48009	-1.81661	0.102019	3.94487	1.9604	0.496949	0.00219542	1.70248	0.488439	0.000480348	0.00131825
20005	0.0863059	0.0838791	3.93238	1.93771	0.492758	-1.994	0.11811	4.16488	2.00753	0.482015	0.000270763	2.16383	0.487232	7.42837e-05	0.00159773
20006	0.0918721	0.0893916	3.85747	2.0479	0.530891	-1.81367	0.151894	4.08638	1.94137	0.475082	0.00107584	1.81555	0.502182	0.000244876	0.00187369
20007	0.224511	0.179596	3.99739	1.93003	0.482822	-1.76085	0.178459	3.86155	1.92034	0.497299	3.2813e-07	1.97083	0.489935	8.40194e-08	0.00212093
20008	0.169262	0.149463	3.79813	1.89181	0.498091	-1.74647	0.216205	3.84352	1.88124	0.489456	0.00121375	1.83502	0.493748	0.000295213	0.00234149
20009	0.158091	0.183254	4.13338	1.90554	0.461012	-1.76122	0.246702	3.65182	1.74947	0.479069	0.00109279	1.84187	0.469482	0.000275406	0.00261004
20010	0.107094	0.106553	3.97781	1.85435	0.466173	-1.68986	0.259946	3.54851	1.73698	0.489496	0.00728674	1.61453	0.477169	0.00163606	0.0028398
20011	0.118533	0.100144	3.72838	2.00665	0.53821	-1.61996	0.33603	3.71411	1.78212	0.479823	0.0184102	1.51119	0.509073	0.00365993	0.00307066
20012	-0.0739178	0.00396645	4.03893	1.8549	0.459256	-1.66313	0.294378	3.85217	1.91754	0.497782	0.0333937	1.2628	0.478063	0.00556085	0.00331245
20013	0.00920969	-0.0476961	4.20922	1.89349	0.449843	-1.62011	0.370834	3.94828	1.8593	0.470914	0.0659839	1.32735	0.460042	0.0115402	0.00355845
20014	-0.121004	-0.15462	3.69311	1.84361	0.499202	-1.63912	0.337293	4.10262	1.96461	0.478868	0.104994	1.15235	0.488501	0.0156446	0.00394923
20015	-0.247683	-0.211073	3.79351	1.74896	0.461039	-1.62556	0.313748	3.53078	1.94295	0.55029	0.145078	0.949273	0.504064	0.0183188	0.0041865
