cycle	Zbar1	Gbar1	VP1	VG1	h21	Zbar2	Gbar2	VP2	VG2	h22	h2b	h2b_denom	h2w	Qst	Fst
20000	0.0119024	-0.0123363	4.0658	1.88559	0.463769	4.04505	0.051255	3.89329	1.87026	0.480379	0.000248603	8.13316	0.471894	0.000269233	0.000394792
20001	-0.0791592	-0.0529811	3.92236	1.87108	0.477029	3.91309	-0.00257335	3.89146	1.95672	0.502825	0.000159426	7.96902	0.489876	0.000166009	0.000697283
20002	-0.0909962	-0.0881812	4.06822	1.99853	0.491256	3.92479	-0.0786332	3.93056	2.00911	0.511151	5.65305e-06	8.06326	0.501032	5.6897e-06	0.000879615
20003	-0.121042	-0.14067	3.76345	2.15739	0.573247	3.82956	-0.0757723	4.30656	2.19262	0.509135	0.000269853	7.80362	0.539034	0.000242111	0.0011641
20004	-0.090891	-0.126337	4.17987	1.9811	0.473963	3.91807	-0.116531	4.08199	2.10356	0.515327	5.9839e-06	8.03589	0.4944	5.88907e-06	0.00145408
20005	-0.132139	-0.109647	4.28093	2.08329	0.486644	3.829	-0.138645	3.63931	2.06443	0.567259	5.35927e-05	7.84529	0.523686	5.07074e-05	0.00174995
20006	-0.0625841	-0.119812	4.18065	2.04243	0.488544	3.83884	-0.141454	3.92373	1.979	0.504368	3.07734e-05	7.61055	0.496205	2.91331e-05	0.00201094
20007	-0.0598103	-0.105097	3.92328	2.06211	0.52561	3.72109	-0.243195	3.74793	1.99352	0.531901	0.00133408	7.14758	0.528683	0.00117478	0.00227722
20008	-0.120064	-0.119826	4.01774	2.07322	0.516017	3.68668	-0.27938	3.96655	2.12055	0.534607	0.00175675	7.24566	0.525253	0.00151605	0.00260281
20009	-0.131565	-0.153262	3.68124	1.91929	0.52137	3.51227	-0.406347	3.91241	2.00665	0.512894	0.00482407	6.63879	0.517003	0.00406422	0.00290357
20010	-0.0269926	-0.0651921	3.85487	1.91412	0.496546	3.6301	-0.406255	3.70871	1.76733	0.476536	0.00869752	6.68717	0.486734	0.00784127	0.00307752
20011	-0.0492811	-0.0452624	4.23112	1.99472	0.471441	3.56242	-0.400975	3.70552	1.80726	0.487722	0.00970009	6.52219	0.479043	0.00825555	0.00331935
20012	-0.0708343	-0.0967015	3.92575	2.08131	0.53017	3.57881	-0.440884	3.82483	1.86444	0.487458	0.00889355	6.65996	0.509092	0.00745341	0.00354889
20013	-0.0337326	-0.0512535	4.23704	2.07467	0.489651	3.48819	-0.502284	3.81336	1.90073	0.498441	0.0164003	6.20196	0.493815	0.0126376	0.00381693
20014	-0.0754492	-0.0426027	4.17572	2.07499	0.496918	3.50649	-0.501243	3.75744	1.74597	0.464671	0.0163949	6.41515	0.481645	0.0135828	0.004094
20015	-0.139423	-0.0544414	4.07505	1.95701	0.480243	3.36656	-0.614665	3.98464	1.89779	0.476277	0.025533	6.14597	0.478282	0.0199583	0.00432711
20016	-0.0736441	-0.0601588	3.95094	1.95842	0.495686	3.31518	-0.677905	3.67663	1.81762	0.49437	0.0332294	5.74206	0.495052	0.0246547	0.00457918
20017	-0.0746414	-0.103846	3.86408	2.02233	0.523365	3.25203	-0.724904	3.95838	1.79945	0.454592	0.0348533	5.53338	0.488564	0.0246224	0.00491468
20018	-0.21845	-0.207988	4.08502	1.96449	0.480901	3.28644	-0.773658	3.56174	1.83725	0.51583	0.0260482	6.14211	0.497171	0.0206183	0.00516985
20019	-0.206359	-0.196227	4.20204	2.00986	0.478305	3.1584	-0.832183	4.18216	1.88762	0.451351	0.0357228	5.6608	0.46486	0.0252987	0.00549806
20020	-0.19898	-0.122256	4.09563	1.93194	0.471708	3.09208	-0.894907	3.85584	1.91779	0.497372	0.0551183	5.41554	0.484153	0.0373394	0.00567658
20021	-0.0353273	-0.126026	4.0435	1.95293	0.48298	3.02174	-0.912879	3.79112	1.79759	0.474158	0.0662487	4.67282	0.478711	0.0396533	0.00578201
20022	-0.0622322	-0.0737763	4.2979	2.00821	0.467255	3.03314	-0.955075	3.96524	1.89784	0.478621	0.0810629	4.79065	0.472709	0.047379	0.00607349
20023	-0.13511	-0.121664	3.92934	2.00453	0.510143	3.12227	-0.918131	4.39554	1.98317	0.451177	0.0597858	5.30527	0.479009	0.0382671	0.00625482
20024	-0.128625	-0.0919233	4.11706	2.03958	0.495396	2.96927	-0.985182	3.8159	1.97294	0.517031	0.0831419	4.79849	0.505803	0.0473821	0.00651048
20025	-0.0688062	-0.0970676	4.1361	2.12641	0.514109	2.91719	-1.02241	3.80642	1.89371	0.497505	0.0960346	4.45809	0.506152	0.0505804	0.00687497
20026	-0.0761511	0.000168007	4.1686	2.07107	0.496826	2.91147	-1.04518	3.97493	1.96682	0.494807	0.122425	4.46295	0.495841	0.0633986	0.00720891
20027	0.104061	0.0138911	3.93221	2.01896	0.513443	2.78575	-1.13168	3.68793	1.89509	0.513862	0.182485	3.59573	0.513646	0.0773749	0.00748336
