cycle	Zbar1	Gbar1	VP1	VG1	h21	Zbar2	Gbar2	VP2	VG2	h22	h2b	h2b_denom	h2w	Qst	Fst
20000	0.0508098	0.0913131	4.12896	1.9959	0.483389	4.1724	0.0865408	3.47953	1.7762	0.510472	1.34066e-06	8.49376	0.495775	1.51016e-06	0.000392264
20001	0.149494	0.148329	4.11387	2.05676	0.499957	4.10562	0.0550324	3.73434	1.75394	0.469679	0.000556155	7.82545	0.48555	0.000571005	0.000656631
20002	0.133539	0.133885	4.09329	2.02399	0.494466	4.05948	0.0245199	3.55065	1.66732	0.469581	0.000776022	7.70649	0.482907	0.000809815	0.000859418
20003	0.139696	0.164976	4.07126	1.85358	0.455285	3.97995	-0.0200635	3.69735	1.86302	0.503881	0.00232173	7.37378	0.478413	0.00229902	0.00111538
20004	0.167547	0.164238	3.74828	1.81663	0.484657	3.90968	-0.0727624	4.17369	1.99299	0.477512	0.00401107	7.0018	0.480893	0.00367432	0.0014433
20005	0.285286	0.22128	3.84853	1.7741	0.460982	3.78117	-0.182671	3.76841	1.98691	0.527253	0.013352	6.11058	0.493769	0.0107355	0.00172036
20006	0.36898	0.256646	3.73299	1.81732	0.486826	3.73357	-0.248107	4.09185	1.97789	0.483374	0.0225057	5.66024	0.485021	0.0165138	0.00202262
20007	0.375308	0.266871	4.01167	1.93627	0.482659	3.71438	-0.276905	3.79723	1.86912	0.492233	0.026521	5.5747	0.487314	0.0190651	0.00222572
20008	0.294404	0.239572	4.02616	1.84071	0.457187	3.70209	-0.274014	3.89461	1.98039	0.508495	0.0227147	5.80617	0.482415	0.0169731	0.00252735
20009	0.130535	0.179	3.82522	1.87438	0.490005	3.6014	-0.360895	4.00559	1.9725	0.492437	0.0241961	6.02345	0.491249	0.0186001	0.00282529
20010	0.161253	0.192289	3.91555	2.0332	0.519263	3.45307	-0.470667	3.64568	1.90569	0.522724	0.04056	5.41803	0.520932	0.0271517	0.00308469
20011	0.271405	0.27437	3.88972	1.81952	0.467777	3.50976	-0.472725	3.72069	1.86528	0.501326	0.0532233	5.24349	0.484179	0.0365044	0.00334494
20012	0.27117	0.252508	3.7498	1.8496	0.493252	3.40356	-0.553476	3.98993	1.81029	0.453714	0.0662065	4.90594	0.47287	0.0425087	0.00360825
20013	0.273068	0.279217	3.79423	1.7273	0.455244	3.40382	-0.645074	4.18518	1.83354	0.438104	0.0871606	4.9008	0.446254	0.0566124	0.00382375
20014	0.236837	0.270618	3.76482	1.87932	0.49918	3.35996	-0.678262	3.90153	1.84449	0.47276	0.0923091	4.87695	0.485734	0.0570285	0.00409815
20015	0.220055	0.257668	3.81218	1.93788	0.508339	3.29952	-0.686208	3.68128	1.77792	0.482961	0.0939462	4.74155	0.495872	0.0565771	0.00429443
20016	0.189984	0.205905	4.03647	1.9506	0.483245	3.36885	-0.690084	4.00479	1.95432	0.487996	0.079444	5.05259	0.485611	0.0489072	0.00457129
20017	0.190257	0.18049	3.71978	1.90019	0.510835	3.31858	-0.729421	3.88703	1.92296	0.494712	0.0846011	4.89319	0.502597	0.0513835	0.00483537
20018	0.115076	0.124181	3.82377	1.97801	0.517293	3.34716	-0.720951	3.59242	1.69956	0.473097	0.0683726	5.2232	0.495885	0.046328	0.00498775
20019	0.0969258	0.0867839	4.10274	2.01239	0.490499	3.18441	-0.782049	3.52467	1.69237	0.48015	0.0791886	4.76628	0.485716	0.0484933	0.00520922
20020	0.0210586	0.0692115	3.69114	1.94703	0.527488	3.30921	-0.763494	3.95312	1.83224	0.463492	0.0641326	5.40598	0.494393	0.0438779	0.00543449
20021	-0.0125888	0.068726	3.84269	1.78599	0.464777	3.23185	-0.74182	4.17639	1.98925	0.476308	0.0624131	5.2632	0.470783	0.0417123	0.00573649
20022	-0.0012881	0.0678135	3.87445	1.86635	0.481708	3.22934	-0.734773	3.93911	1.88996	0.479793	0.0617176	5.21849	0.480743	0.0411282	0.00601152
20023	0.11693	0.0687952	3.71417	1.88329	0.507056	3.30098	-0.741025	4.19435	1.94666	0.464116	0.0646872	5.06908	0.484283	0.0410702	0.0062233
20024	0.121623	0.112458	3.69599	1.8062	0.488692	3.07106	-0.890496	4.07025	2.01993	0.496268	0.115633	4.3496	0.492662	0.0617022	0.00631662
20025	0.0755715	0.0880735	3.51164	1.75837	0.500726	3.09189	-0.916356	3.97142	1.87057	0.471009	0.110888	4.5491	0.484954	0.065016	0.0066138
20026	0.134402	0.0776461	3.88745	1.85722	0.477747	3.15924	-0.927146	3.67335	1.85982	0.5063	0.110344	4.57482	0.491619	0.0636161	0.00684198
20027	0.0980087	0.0350444	3.82292	1.86153	0.48694	3.02885	-0.918236	3.52191	1.85712	0.527305	0.105793	4.29491	0.506296	0.0576031	0.00698128
20028	0.0395075	0.0347356	3.87403	1.85441	0.478677	3.03122	-0.997962	3.95661	1.93759	0.48971	0.119153	4.47518	0.484252	0.0657221	0.00717914
20029	0.0501443	-0.00226717	3.82877	1.80562	0.471591	3.05393	-0.967602	4.01093	2.16167	0.538945	0.103281	4.51136	0.506051	0.0554914	0.00725355
20030	0.0622102	0.0357941	3.78827	1.70468	0.449989	3.00324	-1.00842	4.16203	2.04597	0.491581	0.12606	4.32483	0.471763	0.0677864	0.00743807
20031	0.00371762	0.0473348	3.89319	1.82983	0.470008	2.96613	-1.03185	3.6454	1.87208	0.513545	0.132708	4.38796	0.491061	0.0729498	0.00768428
20032	0.0550569	0.0510194	3.67905	1.93807	0.526784	2.96127	-1.0108	3.66253	1.89819	0.518273	0.13349	4.22305	0.522538	0.0684773	0.00791982
20033	0.0608386	0.030694	3.83099	2.00838	0.524247	2.8457	-1.09898	3.86537	1.90606	0.493111	0.164551	3.87772	0.508609	0.0753964	0.00816923
20034	-0.0492253	-0.0721297	4.30244	2.01993	0.469486	2.88614	-1.11934	3.5749	1.77108	0.495422	0.127275	4.30819	0.481256	0.0674733	0.00862536
