cycle	Zbar1	Gbar1	VP1	VG1	h21	Zbar2	Gbar2	VP2	VG2	h22	h2b	h2b_denom	h2w	Qst	Fst
20000	-0.291587	-0.172599	3.66743	1.89141	0.515733	-2.11151	-0.0766436	3.94822	1.75462	0.444407	0.00277993	1.65606	0.478755	0.000631252	0.000399238
20001	-0.152093	-0.156738	4.20741	1.95071	0.463638	-2.05925	-0.0135535	3.8053	1.8251	0.479621	0.00563657	1.81863	0.471228	0.00135627	0.0006773
20002	0.0482472	-0.0554877	3.75182	1.83252	0.488436	-1.87988	0.0689154	3.69301	1.85133	0.501305	0.00416284	1.85884	0.49482	0.00104969	0.000947415
20003	-0.0194008	-0.0535116	3.91226	1.80473	0.461302	-1.83421	0.122079	3.92512	1.82889	0.465945	0.00936147	1.64676	0.463627	0.00211788	0.00119709
20004	0.0598525	0.0193216	3.6519	1.74207	0.477031	-1.77193	0.148799	3.74892	1.94829	0.519693	0.00499615	1.67772	0.498641	0.00113496	0.00148066
20005	0.170107	0.122692	3.85255	1.7341	0.450116	-1.88301	0.149618	3.97593	1.82818	0.459812	0.000171999	2.10764	0.455041	5.09048e-05	0.00173834
20006	0.148782	0.186442	3.91973	1.71919	0.438598	-1.72391	0.19869	3.67965	1.71099	0.464986	4.27709e-05	1.75349	0.451375	1.09375e-05	0.0019679
20007	0.211266	0.196827	3.79203	1.76991	0.466744	-1.64576	0.317951	3.69419	1.67429	0.453223	0.00425428	1.72428	0.460072	0.00106431	0.00218598
20008	0.151355	0.208585	3.73287	1.79536	0.480959	-1.51712	0.399131	3.3531	1.72488	0.514413	0.0130425	1.3919	0.49679	0.00257316	0.00241141
20009	0.193812	0.238884	3.85574	1.84139	0.477572	-1.52138	0.477125	3.90393	1.74412	0.44676	0.0192935	1.47094	0.462071	0.0039439	0.00273779
20010	0.37873	0.308008	3.73797	1.72969	0.462735	-1.39726	0.560755	3.82105	1.7453	0.45676	0.0202532	1.57707	0.459715	0.00457705	0.0030028
20011	0.45586	0.334684	3.56241	1.66711	0.467973	-1.4421	0.579776	3.65118	1.81498	0.497095	0.0166757	1.80113	0.482714	0.0042964	0.00336538
20012	0.404462	0.344932	3.5935	1.71243	0.476536	-1.32098	0.692429	3.64277	1.62064	0.444891	0.0405604	1.48857	0.460606	0.00898042	0.00355744
20013	0.334355	0.315859	4.15154	1.75448	0.42261	-1.3984	0.669175	3.81994	1.77059	0.463512	0.0415773	1.50121	0.44221	0.00877987	0.00375077
20014	0.19995	0.234862	3.65947	1.67336	0.457269	-1.27199	0.716934	3.6407	1.74809	0.480154	0.107262	1.0833	0.468682	0.0167052	0.00397269
20015	0.232871	0.216719	3.69755	1.84111	0.497925	-1.24465	0.780953	3.84387	1.88776	0.49111	0.145833	1.09153	0.494452	0.0209085	0.00416743
20016	0.238979	0.207609	3.75437	1.9208	0.511616	-1.18609	0.810993	4.02506	1.91113	0.474807	0.179274	1.01541	0.492571	0.0232128	0.00439396
20017	0.20301	0.183023	4.02601	1.86941	0.464335	-1.20703	0.874715	4.03352	1.92684	0.477705	0.240636	0.994111	0.471026	0.0305597	0.00468579
20018	0.185115	0.197751	3.67815	1.80029	0.489456	-1.21303	0.80868	4.29959	1.90638	0.443387	0.190932	0.977402	0.464628	0.024567	0.00491379
20019	0.127593	0.165977	3.963	1.8303	0.461848	-1.09977	0.882862	3.82111	1.9722	0.516132	0.341156	0.753208	0.488495	0.0327	0.00510424
20020	0.299198	0.202827	4.1423	1.97114	0.475858	-1.13986	0.964608	4.17577	1.93723	0.463922	0.280223	1.03544	0.469866	0.0358084	0.00533412
20021	0.105939	0.15492	3.90864	2.01785	0.516253	-0.981625	1.01502	3.89117	1.9609	0.503935	0.625442	0.591398	0.510108	0.0444392	0.00558963
20022	0.17054	0.166024	4.04761	2.00628	0.495671	-1.02695	1.01631	4.05177	1.90944	0.471262	0.504181	0.716986	0.48346	0.0441433	0.00582591
20023	0.181653	0.163789	3.84374	1.82881	0.475789	-1.01548	1.00577	3.80399	1.82584	0.479981	0.494676	0.716565	0.477874	0.0462744	0.00603265
20024	0.126501	0.193055	3.80928	1.87189	0.491404	-0.993375	1.09217	3.56446	1.95723	0.549095	0.644607	0.627061	0.519292	0.0501585	0.00623852
20025	0.264677	0.228425	3.68243	1.73024	0.469862	-0.889524	1.14406	4.05672	1.88334	0.464252	0.629333	0.66609	0.466921	0.0548486	0.00665482
20026	0.243707	0.228986	4.07684	1.85103	0.454034	-0.829803	1.17737	4.23905	1.99967	0.471725	0.780473	0.576211	0.463052	0.0551986	0.0068298
20027	0.179875	0.17261	3.9928	1.68514	0.422046	-0.72389	1.26355	4.11884	1.99277	0.483819	1.4571	0.408396	0.453412	0.0748781	0.00700867
20028	0.094325	0.179998	3.65145	1.78766	0.489574	-0.671849	1.34833	3.89217	1.81144	0.465406	2.32528	0.293511	0.477104	0.0866432	0.00732308
20029	0.163265	0.129385	3.86283	1.83028	0.473819	-0.660967	1.36502	4.10832	1.98006	0.481965	2.24741	0.339679	0.478017	0.0910946	0.00759981
20030	0.200293	0.119641	3.86176	1.91875	0.496859	-0.602114	1.43604	4.0966	1.84367	0.450048	2.69147	0.321928	0.472763	0.103303	0.00783975
20031	0.127856	0.150913	3.85139	1.7647	0.458198	-0.532159	1.46305	3.96283	1.84066	0.464481	3.95229	0.21781	0.461384	0.1067	0.00812331
20032	0.0952246	0.101985	3.90689	1.75172	0.448367	-0.528417	1.47132	3.65647	1.72434	0.471588	4.8211	0.194465	0.459593	0.118883	0.00844122
20033	0.0297917	0.0698922	4.01561	1.79704	0.447514	-0.504607	1.48312	3.71558	1.76015	0.473721	6.99348	0.142791	0.460109	0.123141	0.00864461
20034	-0.021157	0.0225588	3.90253	1.67122	0.428239	-0.527058	1.50708	3.88183	1.92714	0.496452	8.6107	0.127968	0.462255	0.132838	0.00896295
20035	0.0381568	0.00463062	3.67781	1.74692	0.47499	-0.478989	1.49683	4.14305	2.02741	0.489353	8.3258	0.13372	0.482599	0.128586	0.00918069
20036	-0.0191334	-0.0319393	3.92012	1.81688	0.463475	-0.555627	1.51956	4.02628	2.12025	0.526602	8.36318	0.143913	0.49546	0.132641	0.00946688
20037	0.000906245	-0.0809458	3.45747	1.55862	0.450798	-0.383947	1.61407	4.21636	2.08197	0.493784	19.3979	0.0740562	0.474416	0.164853	0.00964391
20038	0.015898	-0.0913927	3.51829	1.70416	0.484371	-0.425451	1.59586	3.7495	1.8436	0.491694	14.6149	0.0973943	0.488149	0.167157	0.00988426
20039	-0.0287188	-0.0730799	3.54235	1.66488	0.469993	-0.296152	1.64522	3.83707	1.86454	0.485929	41.2826	0.0357603	0.478279	0.173037	0.0100627
20040	-0.013383	-0.0680898	3.47883	1.75334	0.504002	-0.277846	1.72967	3.89111	1.89703	0.48753	46.2101	0.0349702	0.495305	0.181304	0.0102919
20041	-0.0372891	-0.048924	3.60416	1.7352	0.481444	-0.286531	1.75827	3.79246	1.77124	0.467042	52.5736	0.0310607	0.474059	0.18895	0.0104586
20042	0.0432057	-0.0114849	3.78906	1.80654	0.476778	-0.289962	1.74367	3.97747	1.75767	0.441907	27.7526	0.0555005	0.45892	0.177756	0.010799
20043	0.151834	0.0806978	3.58852	1.7275	0.481397	-0.188104	1.77054	4.07816	1.93458	0.474376	24.7109	0.0577791	0.477662	0.163206	0.0111837
20044	0.0534904	0.0602514	3.63848	1.77282	0.487243	-0.180464	1.77601	3.63366	1.89618	0.521837	53.784	0.0273672	0.504529	0.167145	0.0114817
20045	0.181502	0.22446	3.47861	1.64269	0.472226	-0.122367	1.79711	3.97139	1.89297	0.476652	26.785	0.0461681	0.474585	0.14891	0.0118718
20046	0.246442	0.251873	3.89679	1.79664	0.461056	-0.219918	1.81201	3.88035	1.8069	0.465653	11.1913	0.108746	0.46335	0.14453	0.0120685
20047	0.239559	0.251531	3.64858	1.7882	0.490108	-0.150128	1.84913	3.89559	1.73552	0.445508	16.8075	0.0759283	0.467077	0.153384	0.0122682
20048	0.215763	0.265337	3.49656	1.7498	0.500433	0.00460107	1.85431	3.91953	1.75105	0.44675	56.6239	0.0222948	0.47206	0.152824	0.0125321
20049	0.221758	0.24818	3.67365	1.73576	0.47249	-0.0894296	1.94259	3.79342	1.7319	0.456553	29.6478	0.0484188	0.464394	0.171561	0.012748
20050	0.293828	0.254599	3.75125	1.832	0.48837	-0.0817061	1.94174	4.11343	1.88768	0.458906	20.1839	0.070513	0.47296	0.160655	0.0128151
20051	0.230009	0.209165	3.67	1.80761	0.492538	-0.0578636	1.90405	3.59251	1.79197	0.498807	34.6641	0.0414354	0.495639	0.166397	0.0130989
20052	0.21222	0.179569	3.90585	1.81647	0.465063	-0.19679	1.87632	3.86403	1.78598	0.462205	17.2095	0.0836446	0.463642	0.166592	0.0133762
20053	0.241601	0.146823	3.76312	1.97256	0.524183	-0.17911	1.81993	3.9031	1.74748	0.447715	15.8154	0.0884989	0.485251	0.158403	0.0136903
20054	0.117639	0.151127	3.6108	1.63863	0.453814	-0.127148	1.88322	3.74909	1.86992	0.498766	50.0688	0.0299602	0.476712	0.176196	0.0139946
20055	0.189882	0.15179	3.68385	1.74599	0.473958	-0.076308	1.96585	3.91071	1.78263	0.455834	46.4431	0.0354285	0.464625	0.189146	0.0141461
20056	0.164806	0.134281	3.87746	1.68146	0.433648	-0.0232695	1.98325	3.68344	1.73893	0.472094	96.6478	0.0176862	0.452378	0.2	0.0144762
20057	0.0954688	0.159925	3.6895	1.71296	0.46428	0.053647	2.09472	3.8547	1.76088	0.456814	2140.26	0.000874532	0.460466	0.212312	0.0146018
20058	0.148773	0.211574	3.94594	1.73885	0.440669	-0.0030418	2.04723	3.72672	1.77887	0.477327	146.203	0.0115238	0.458475	0.193286	0.0147807
20059	0.267207	0.224857	4.07002	1.88248	0.462523	0.0436575	2.03733	3.65967	1.7221	0.470562	65.735	0.0249872	0.466329	0.185637	0.015119
20060	0.206731	0.25711	3.88239	1.87785	0.483685	-0.0159571	2.00315	3.6918	1.84991	0.501087	61.4769	0.0247951	0.492167	0.16982	0.0152265
20061	0.100157	0.167939	3.93244	1.96851	0.500583	-0.00342524	2.01082	3.77139	1.93968	0.514313	316.537	0.00536461	0.507305	0.178549	0.0154551
