cycle	Zbar1	Gbar1	VP1	VG1	h21	Zbar2	Gbar2	VP2	VG2	h22	h2b	h2b_denom	h2w	Qst	Fst
20000	0.134593	0.10314	3.60278	1.6419	0.455733	4.06103	0.00681021	3.67755	1.7197	0.467621	0.000601895	7.70844	0.461738	0.000689966	0.000411045
20001	0.133554	0.114007	3.49741	1.72529	0.493304	3.97171	-0.0928263	3.70423	1.73217	0.467619	0.00290399	7.36573	0.480093	0.00308532	0.000662289
20002	-0.0432493	0.0556944	4.05927	1.78712	0.440256	3.8378	-0.155904	3.40932	1.67411	0.49104	0.00297253	7.53129	0.463438	0.00322515	0.000876392
20003	0.0367843	0.064865	3.65146	1.84394	0.504987	3.74933	-0.160634	3.60224	1.73617	0.48197	0.00368931	6.89151	0.493557	0.00354005	0.00111405
20004	0.116928	0.0598351	3.96185	1.83241	0.462514	3.79631	-0.174915	3.78906	1.82985	0.482931	0.00407062	6.76892	0.472495	0.00374961	0.00132474
20005	-0.0258866	0.0203538	3.85559	1.93853	0.502783	3.64783	-0.278805	3.65121	1.76471	0.483321	0.00663122	6.74808	0.493317	0.00600845	0.00163082
20006	-0.00184248	0.0124226	3.89445	1.93938	0.497984	3.64146	-0.337571	3.81454	1.9589	0.513535	0.00922849	6.63683	0.505679	0.00779841	0.00192688
20007	-0.0800324	0.00807589	3.68324	1.78938	0.485818	3.62032	-0.385829	4.21386	1.88548	0.447448	0.0113317	6.8463	0.465344	0.0104505	0.00223178
20008	-0.105665	-0.106672	3.67408	1.67258	0.455237	3.41876	-0.545035	3.6669	1.89508	0.516808	0.01547	6.21078	0.485992	0.0132932	0.00244443
20009	-0.0233529	-0.0811804	3.34982	1.52643	0.455676	3.34073	-0.619052	3.89947	1.88621	0.483708	0.0255636	5.65854	0.470755	0.020764	0.00272993
20010	-0.0354772	-0.0717253	3.51253	1.549	0.440993	3.38404	-0.658725	3.87242	1.99364	0.514832	0.0294677	5.84655	0.479711	0.0237501	0.00302706
20011	-0.0212576	-0.049257	3.74668	1.68065	0.44857	3.35768	-0.698998	3.89052	1.98828	0.511059	0.0369761	5.7086	0.480403	0.0279753	0.00323424
20012	-0.0920861	-0.120682	3.67375	1.67832	0.456842	3.23906	-0.771717	3.71242	1.88217	0.506993	0.0381963	5.54827	0.482049	0.0289143	0.00360924
20013	-0.0145298	-0.0505411	3.78963	1.7805	0.469836	3.2538	-0.806766	3.67588	1.82784	0.497252	0.0535365	5.34099	0.483335	0.0381301	0.00382946
20014	-0.0588127	-0.00554665	3.98921	1.77127	0.444014	3.13871	-0.878645	3.67124	1.75382	0.477719	0.074559	5.11207	0.460167	0.051314	0.00404608
20015	-0.0254821	-0.0794658	3.86995	1.71617	0.443461	3.09014	-0.942709	3.4634	1.66744	0.481446	0.0767675	4.85354	0.461401	0.0522102	0.00442413
20016	-0.113743	-0.088453	4.0461	1.87698	0.463897	3.09935	-0.945789	3.91856	1.65322	0.421895	0.0711961	5.16198	0.443232	0.0495008	0.00463745
20017	-0.0376273	-0.0819573	4.00812	1.98671	0.495672	2.99492	-0.964413	3.80719	1.83672	0.482434	0.0846781	4.59816	0.489223	0.0484741	0.00484641
