cycle	Zbar1	Gbar1	VP1	VG1	h21	Zbar2	Gbar2	VP2	VG2	h22	h2b	h2b_denom	h2w	Qst	Fst
20000	-0.381478	-0.386793	3.62623	1.66196	0.458316	-2.35701	-0.364341	3.78009	1.57463	0.41656	0.000129162	1.95137	0.437005	3.89544e-05	0.000367115
20001	-0.281819	-0.375385	3.94093	1.83869	0.466564	-2.37091	-0.352643	4.00824	1.62614	0.4057	0.000118505	2.18215	0.435874	3.73344e-05	0.000620547
20002	-0.480508	-0.392961	3.90122	1.89576	0.48594	-2.2719	-0.279064	3.63416	1.77726	0.489043	0.00404247	1.60454	0.487437	0.00088263	0.000877556
20003	-0.270744	-0.339875	3.8125	1.77451	0.465445	-2.17615	-0.192271	3.68674	1.68656	0.457466	0.00600102	1.81528	0.461523	0.00157203	0.00110665
20004	-0.320549	-0.393767	3.79715	1.76169	0.463949	-2.05834	-0.089744	3.73301	1.74124	0.466444	0.0306069	1.50996	0.465186	0.00655667	0.0013974
20005	-0.534613	-0.436892	4.13219	1.69531	0.410269	-2.05239	-0.0286899	3.89999	1.89146	0.48499	0.0723329	1.15182	0.44655	0.0114865	0.00160381
20006	-0.42689	-0.3953	3.87008	1.80687	0.466881	-1.92801	0.0360794	3.74996	1.8916	0.504432	0.0825828	1.12667	0.48536	0.0124286	0.00191528
20007	-0.402751	-0.427397	3.66078	1.76944	0.48335	-1.93104	0.0767725	4.01637	1.9275	0.47991	0.108828	1.16784	0.481551	0.0169068	0.00216953
20008	-0.482853	-0.437878	3.73872	1.75236	0.468706	-1.84104	0.164929	3.65559	1.92028	0.525301	0.196987	0.922331	0.496685	0.02415	0.00245394
20009	-0.491001	-0.47381	3.98452	1.75396	0.440194	-1.89419	0.187502	3.58172	1.82816	0.510414	0.222115	0.984476	0.473435	0.0296323	0.00274486
20010	-0.601451	-0.508201	3.94055	1.66709	0.423059	-1.6278	0.332691	3.66351	1.7828	0.486636	0.671256	0.526698	0.453689	0.0487664	0.00290952
20011	-0.500073	-0.506556	4.05231	1.7618	0.434766	-1.64999	0.411677	3.72134	1.9053	0.511991	0.637639	0.661151	0.471735	0.0543821	0.00307108
20012	-0.462242	-0.507017	3.93837	1.77354	0.450322	-1.5365	0.488929	3.81148	1.92265	0.504437	0.859519	0.577014	0.476937	0.0629014	0.00324233
20013	-0.419324	-0.452457	4.21452	1.8038	0.427997	-1.49078	0.496519	3.34667	1.65952	0.49587	0.78445	0.574005	0.458038	0.0610675	0.00349848
20014	-0.407632	-0.411027	3.6616	1.74612	0.476874	-1.40454	0.530257	3.7295	1.72931	0.463685	0.891513	0.496917	0.470219	0.0599437	0.00377106
20015	-0.315165	-0.279053	3.71268	1.7279	0.465404	-1.56937	0.56415	3.77474	1.84132	0.487802	0.451992	0.786509	0.476696	0.0474604	0.00402553
20016	-0.29708	-0.292947	3.67337	1.73484	0.472274	-1.42098	0.561299	3.90166	1.77452	0.454813	0.577712	0.631574	0.46328	0.0494396	0.00429514
20017	-0.206892	-0.23773	3.67018	1.76681	0.481396	-1.43786	0.604311	3.71078	1.82518	0.491858	0.467924	0.757638	0.486655	0.0470499	0.0045912
20018	-0.219368	-0.236132	3.53582	1.70463	0.482104	-1.37273	0.590763	3.87151	1.87921	0.485396	0.514011	0.665117	0.483824	0.0455473	0.00486641
20019	-0.195755	-0.237826	3.69148	1.68483	0.45641	-1.2464	0.729833	3.89202	1.98706	0.510546	0.848263	0.551931	0.484194	0.0599597	0.00504559
20020	-0.277563	-0.261629	3.99668	1.74423	0.43642	-1.25151	0.744597	3.9734	1.90857	0.480337	1.06739	0.474285	0.458315	0.0648351	0.00526918
20021	-0.30324	-0.274528	3.7368	1.77474	0.474937	-1.30978	0.715312	3.62986	1.77999	0.490374	0.967086	0.506564	0.482543	0.064495	0.00549347
20022	-0.338275	-0.25947	3.71341	1.83063	0.492978	-1.19903	0.777248	3.69856	1.9288	0.521499	1.45065	0.37045	0.50721	0.0667362	0.00580213
20023	-0.175653	-0.158342	3.88477	1.76504	0.454348	-1.21874	0.786584	3.95378	1.84999	0.467906	0.820637	0.544019	0.461186	0.0581843	0.00599486
20024	-0.25486	-0.195592	3.69871	1.71687	0.464182	-1.19485	0.771555	3.6745	1.80577	0.491432	1.05862	0.441791	0.477762	0.0622798	0.00624191
20025	-0.129024	-0.14329	3.39317	1.74012	0.512831	-1.18217	0.853343	3.93701	1.8947	0.481255	0.895566	0.554553	0.495872	0.063978	0.0065967
20026	-0.0508969	-0.076132	3.70445	1.70888	0.461305	-1.10716	0.891401	3.79886	1.83832	0.483914	0.839044	0.55785	0.472752	0.0619216	0.0068907
20027	-0.136791	-0.139589	3.92556	1.72759	0.440089	-1.03995	0.972278	3.4956	1.86362	0.533134	1.51556	0.407851	0.483916	0.0792775	0.00709519
20028	-0.0560752	-0.122615	3.4506	1.68119	0.487217	-0.947104	1.02107	3.79297	1.85346	0.488657	1.64751	0.396966	0.487971	0.0847181	0.0072574
20029	-0.0433944	-0.0770877	3.63068	1.60983	0.443395	-0.876442	1.05887	3.59992	1.70957	0.474893	1.85943	0.346984	0.459077	0.0886173	0.00751555
20030	-0.0298878	-0.099616	3.84605	1.77834	0.46238	-0.815213	1.11924	3.85331	1.83385	0.475916	2.40884	0.308368	0.469154	0.0932758	0.00781787
20031	-0.154944	-0.104164	3.93559	1.87791	0.47716	-0.845625	1.20925	3.6321	1.75504	0.483202	3.61616	0.23852	0.48006	0.10616	0.00804361
20032	-0.124158	-0.173156	3.80061	1.77184	0.466198	-0.761247	1.26206	3.93375	1.83063	0.465366	5.07498	0.202942	0.465775	0.125124	0.00851509
20033	-0.15635	-0.206718	3.61502	1.63719	0.452886	-0.697689	1.27204	3.73476	1.74811	0.468064	7.46202	0.146524	0.460599	0.139095	0.00875129
20034	-0.296481	-0.227645	3.72263	1.80231	0.484148	-0.654292	1.35573	3.82416	1.85371	0.484737	19.582	0.0640144	0.484447	0.146408	0.00881684
20035	-0.246718	-0.186715	3.58248	1.68273	0.469711	-0.656491	1.38023	3.81884	1.88111	0.492585	14.6225	0.0839566	0.481514	0.146994	0.00899733
20036	-0.107661	-0.174334	3.76259	1.78935	0.475563	-0.449102	1.48547	3.80574	1.78835	0.469908	23.6311	0.0582911	0.472719	0.1615	0.00908452
20037	-0.152206	-0.20966	3.37565	1.67643	0.496624	-0.552465	1.48629	3.85176	1.80548	0.468742	17.9532	0.0801039	0.481765	0.171236	0.0093908
20038	-0.18156	-0.166308	3.86477	1.74268	0.450915	-0.646893	1.45094	3.8865	1.97087	0.507106	12.0789	0.108267	0.479089	0.149779	0.00961073
20039	-0.0997595	-0.16449	3.64395	1.71089	0.469515	-0.612865	1.45406	4.34379	1.91251	0.440287	9.95038	0.131639	0.45362	0.153145	0.0100525
20040	-0.0816669	-0.138311	3.75046	1.8155	0.484074	-0.561648	1.50226	3.99922	1.87218	0.468137	11.6827	0.115191	0.47585	0.154374	0.010253
20041	-0.168407	-0.160694	4.09887	1.74791	0.426437	-0.425695	1.57619	3.95567	1.8561	0.469225	45.5722	0.0330986	0.447451	0.173122	0.010482
20042	-0.1878	-0.13807	3.86608	1.79189	0.463489	-0.449428	1.52913	3.67204	1.73683	0.472989	40.6076	0.0342245	0.468117	0.164593	0.0107565
20043	-0.242149	-0.210731	3.68207	1.81178	0.492054	-0.373475	1.60855	3.68571	1.7358	0.470953	191.911	0.00862323	0.481499	0.189206	0.0110383
