cycle	Zbar1	Gbar1	VP1	VG1	h21	Zbar2	Gbar2	VP2	VG2	h22	h2b	h2b_denom	h2w	Qst	Fst
20000	-0.466686	-0.489114	4.26654	2.10269	0.492831	3.47666	-0.548561	3.92433	1.88166	0.479487	0.000227257	7.775	0.486438	0.000221795	0.000376132
20001	-0.454757	-0.520186	3.91638	2.09091	0.533889	3.32484	-0.645678	3.52926	1.8914	0.535919	0.00110241	7.14267	0.534851	0.000988161	0.000608845
20002	-0.567894	-0.539991	4.14251	2.03994	0.492441	3.30653	-0.670277	3.83019	1.84823	0.482543	0.00113079	7.50559	0.487686	0.00109077	0.000851681
20003	-0.521905	-0.512603	4.35609	1.93652	0.444555	3.26271	-0.717945	3.84459	1.80845	0.470388	0.0029438	7.16167	0.456666	0.00280827	0.00104987
20004	-0.511584	-0.499974	3.64716	1.704	0.467212	3.18299	-0.797285	3.92367	1.8782	0.478684	0.00647581	6.82495	0.473158	0.00613422	0.00130575
20005	-0.401182	-0.405805	3.81781	1.88629	0.494077	3.21709	-0.770448	3.74033	1.87934	0.502454	0.0101563	6.54594	0.498222	0.0087546	0.00152144
20006	-0.367043	-0.435834	3.91271	1.9142	0.489226	3.1673	-0.808574	3.9273	1.84189	0.468997	0.0111223	6.24579	0.479092	0.00916714	0.00183219
20007	-0.42337	-0.452044	3.89236	1.92028	0.493346	3.14096	-0.833966	3.69325	1.97624	0.535097	0.0114814	6.35223	0.513674	0.00927647	0.00209011
20008	-0.430884	-0.449098	3.70926	1.94599	0.524631	3.09856	-0.882509	3.97581	1.90363	0.478804	0.0150795	6.22848	0.500923	0.0120579	0.00231961
20009	-0.375999	-0.436171	4.10937	1.89244	0.460518	2.96777	-0.913847	3.51571	1.80227	0.512632	0.0204077	5.59039	0.484547	0.015212	0.00256942
20010	-0.449136	-0.406884	3.96657	1.9547	0.492794	3.12803	-0.918329	3.63969	1.77374	0.487332	0.0204419	6.39805	0.49018	0.0172454	0.00285572
20011	-0.417447	-0.463476	3.80862	1.84369	0.484082	2.93751	-1.0613	3.93725	1.97001	0.500353	0.0317517	5.62787	0.492353	0.0229029	0.0031072
20012	-0.410226	-0.498301	4.01332	1.79356	0.446901	2.87094	-1.12299	3.75083	1.87113	0.498857	0.0362472	5.38303	0.472001	0.0259439	0.00334364
20013	-0.391987	-0.472581	3.51964	1.70462	0.484316	2.81674	-1.14681	3.80705	1.76239	0.462928	0.0441523	5.14796	0.473203	0.0317546	0.00357972
20014	-0.408774	-0.393616	3.77379	1.78366	0.472644	2.75884	-1.18793	3.89043	1.87164	0.481088	0.062881	5.01688	0.47693	0.0413867	0.00394161
20015	-0.337993	-0.314919	3.72498	1.79861	0.48285	2.86438	-1.18075	3.71492	1.83083	0.492832	0.0731002	5.1276	0.487834	0.0491251	0.00407177
20016	-0.330254	-0.285945	3.5704	1.69522	0.474798	2.77173	-1.22115	3.80705	1.98772	0.522116	0.0908934	4.81116	0.499216	0.056068	0.00434326
20017	-0.220738	-0.203305	3.89052	1.70547	0.438365	2.80612	-1.22166	3.99871	1.9278	0.482105	0.113191	4.58094	0.460535	0.0666357	0.00457543
20018	-0.227114	-0.238391	3.97309	1.70172	0.428311	2.73002	-1.26721	3.74556	1.80115	0.480876	0.121043	4.37232	0.453819	0.0702699	0.00487313
20019	-0.167414	-0.17041	3.68141	1.96777	0.534516	2.7156	-1.28954	3.89218	1.85799	0.477366	0.150683	4.15588	0.505146	0.0756862	0.0052125
20020	-0.242584	-0.158326	3.79127	1.96116	0.517283	2.64757	-1.35367	3.71447	1.84595	0.496961	0.171059	4.1765	0.507226	0.085819	0.00554779
20021	-0.165238	-0.124761	3.59963	1.78822	0.496779	2.67728	-1.29998	3.82969	1.81219	0.473195	0.170935	4.03995	0.484622	0.0875491	0.00570253
20022	-0.150039	-0.144617	4.02459	1.88072	0.467308	2.74383	-1.29759	3.68295	1.77618	0.482271	0.158736	4.18725	0.474458	0.0833458	0.00590934
20023	-0.160515	-0.15425	3.89514	1.77789	0.456438	2.71757	-1.29045	3.9747	1.78417	0.448882	0.15585	4.14168	0.452622	0.0831157	0.00618047
20024	-0.0913261	-0.0845775	3.80127	1.75284	0.461119	2.63707	-1.31593	3.85464	1.81796	0.471628	0.203682	3.72208	0.46641	0.0960114	0.00645212
20025	-0.131272	-0.0696802	3.52834	1.68566	0.477748	2.75859	-1.30051	3.57992	1.80523	0.504265	0.181401	4.17566	0.491103	0.0979177	0.0066006
20026	0.0291273	0.0256159	3.83824	1.83066	0.476953	2.57195	-1.43525	3.67512	1.80839	0.492064	0.330056	3.23297	0.484344	0.127922	0.00698793
20027	0.00222972	0.000325996	3.73943	1.90751	0.510109	2.5146	-1.47173	3.81473	1.74892	0.458465	0.343308	3.15601	0.484029	0.129098	0.00729047
20028	0.0147632	-0.0391976	3.81553	1.85	0.484859	2.43188	-1.49104	3.67368	1.89043	0.514587	0.360783	2.92123	0.499442	0.123541	0.00755376
20029	-0.0592505	-0.00121951	3.83498	1.71822	0.44804	2.40656	-1.49961	4.12676	1.86117	0.451	0.36926	3.04011	0.449574	0.135615	0.00801475
20030	0.0443899	0.000761217	3.61672	1.74866	0.483494	2.56666	-1.48268	3.96858	1.91936	0.483639	0.345905	3.18092	0.483569	0.13048	0.00815516
20031	-0.0238005	0.0388366	3.76899	1.68181	0.446224	2.48603	-1.43539	3.84244	1.94927	0.5073	0.345016	3.14963	0.477057	0.130215	0.00838866
20032	-0.00193381	0.0625826	3.71621	1.87489	0.504516	2.51411	-1.44093	3.87504	1.77856	0.458978	0.357088	3.16524	0.481271	0.134021	0.00871533
20033	0.178397	0.123859	3.89583	1.84534	0.473671	2.48741	-1.49067	4.37238	1.93233	0.44194	0.488921	2.66576	0.456891	0.147189	0.00879702
20034	0.0558437	0.117196	3.96158	1.92487	0.485885	2.56324	-1.45897	3.92132	1.93306	0.492961	0.395145	3.14353	0.489405	0.138723	0.0089287
20035	0.101771	0.108617	4.02654	1.93985	0.481765	2.40545	-1.52672	4.16837	1.91703	0.459898	0.503931	2.65346	0.470642	0.147801	0.00913543
20036	0.0757058	0.0703054	3.79131	1.83295	0.483462	2.51309	-1.56175	3.85523	1.99573	0.517668	0.448356	2.97042	0.500708	0.14822	0.00932658
20037	0.0953026	0.129145	3.69148	1.96374	0.531966	2.37157	-1.65998	4.18534	1.88474	0.45032	0.617783	2.59069	0.488583	0.172213	0.00937766
20038	0.112182	0.119937	3.6782	1.85531	0.504407	2.30588	-1.68157	3.91395	1.93775	0.495087	0.674403	2.40614	0.499602	0.176285	0.00959591
20039	0.159054	0.11211	3.99048	1.86868	0.468284	2.17215	-1.73008	3.82777	1.81057	0.473008	0.837411	2.02629	0.470597	0.187462	0.00979933
20040	0.0128281	0.0681802	3.75377	1.83509	0.488866	2.18199	-1.75459	3.86933	1.88172	0.486318	0.706124	2.35263	0.487572	0.182732	0.00987686
20041	0.079003	0.107554	3.98863	1.92804	0.483385	2.3325	-1.67345	3.88147	1.89875	0.489183	0.624621	2.53912	0.486244	0.171723	0.0100012
20042	0.0762167	0.0880403	4.25754	1.95118	0.458288	2.32793	-1.70919	3.84182	1.95072	0.507758	0.637059	2.5351	0.481754	0.171538	0.0101739
20043	0.109023	0.0902518	3.76664	1.83928	0.488307	2.3047	-1.72238	3.94512	1.97254	0.499996	0.681524	2.4105	0.494287	0.177359	0.0102787
