cycle	Zbar1	Gbar1	VP1	VG1	h21	Zbar2	Gbar2	VP2	VG2	h22	h2b	h2b_denom	h2w	Qst	Fst
20000	-0.169735	-0.164718	4.19238	2.07859	0.495802	-2.32832	-0.327916	4.09242	2.16158	0.528191	0.00571602	2.32974	0.511801	0.00156864	0.000390933
20001	-0.13217	-0.128853	4.01039	2.0788	0.518355	-2.28763	-0.304956	4.07132	1.95757	0.48082	0.00667502	2.323	0.499446	0.00191807	0.000670569
20002	-0.0234358	-0.0721682	4.31205	2.03821	0.472678	-2.24093	-0.228715	3.72078	1.93468	0.519968	0.00498384	2.45864	0.494582	0.00154053	0.0009041
20003	-0.0613814	-0.0258282	4.14361	2.06084	0.497353	-2.18039	-0.236821	4.21867	1.92553	0.456431	0.00991455	2.24509	0.476708	0.00278551	0.00115187
20004	0.0811914	0.0918985	3.8501	1.93069	0.501465	-2.08844	-0.11856	3.88696	1.88195	0.484169	0.0094093	2.35366	0.492776	0.00289736	0.00138872
20005	0.0787352	0.123903	3.97184	1.99548	0.502407	-2.07481	-0.0970593	3.73727	1.94419	0.520216	0.0105276	2.31888	0.511041	0.00309022	0.00169093
20006	0.0393053	0.0891623	4.1101	2.00666	0.488226	-2.07221	-0.0503832	3.63647	1.86203	0.512043	0.00436758	2.22926	0.499406	0.00125742	0.00197755
20007	0.196354	0.115672	4.04392	1.93136	0.477596	-2.04875	0.00049443	3.87405	1.98236	0.511702	0.00263187	2.52026	0.494283	0.000847109	0.00225287
20008	0.123544	0.117183	3.82409	1.97973	0.517699	-1.9731	0.0349468	4.21351	2.01042	0.477137	0.00153844	2.19795	0.496436	0.000423754	0.00241637
20009	0.153071	0.143998	4.05633	2.01148	0.495887	-1.91785	0.0533722	4.13538	2.17923	0.526972	0.00191503	2.14435	0.511579	0.000489956	0.00273477
20010	0.0709956	0.11177	4.34338	2.09703	0.48281	-1.92816	0.106587	4.31706	2.0875	0.483548	6.72276e-06	1.99831	0.483178	1.60602e-06	0.00302047
20011	0.156296	0.119585	4.02199	2.11729	0.526429	-1.86958	0.125108	4.0072	1.99816	0.498642	7.43166e-06	2.05208	0.512561	1.85374e-06	0.00324942
20012	0.280562	0.209256	4.31978	2.25036	0.520942	-1.86318	0.168855	4.23072	2.01903	0.477231	0.000355164	2.29782	0.499314	9.56149e-05	0.00357043
20013	0.294216	0.215476	3.96692	2.09663	0.528528	-1.91386	0.151013	3.6774	1.94952	0.530136	0.000852293	2.4378	0.529301	0.000256815	0.00383217
20014	0.205106	0.194281	3.8585	1.93439	0.501332	-1.81785	0.214088	3.91695	2.07588	0.529974	9.58601e-05	2.04617	0.515761	2.4467e-05	0.00409842
20015	0.236677	0.23395	4.24788	2.16023	0.508544	-1.70317	0.234565	3.91804	2.07578	0.529801	1.00794e-07	1.88151	0.518743	2.2396e-08	0.00432586
20016	0.327936	0.263401	3.74133	1.95981	0.523828	-1.57369	0.371796	4.1011	2.11451	0.515597	0.00324911	1.8081	0.519523	0.000720783	0.00457746
20017	0.202583	0.21268	3.84089	1.90472	0.495906	-1.41097	0.530465	3.95576	2.13564	0.539882	0.0387881	1.30178	0.518218	0.00621292	0.00482649
20018	0.207214	0.187378	3.6835	2.01404	0.546773	-1.39637	0.589823	4.03868	2.10001	0.519974	0.0629843	1.28574	0.532757	0.00975093	0.00501403
20019	0.308555	0.313397	4.31116	1.83684	0.426067	-1.28075	0.773055	4.22867	2.02867	0.479742	0.0836479	1.26295	0.452645	0.0134872	0.00537974
20020	0.237676	0.274011	3.67694	1.77575	0.482944	-1.16436	0.803969	4.05105	1.88194	0.464555	0.142877	0.982856	0.473305	0.0188439	0.0056799
20021	0.278073	0.236763	3.76525	1.82523	0.484758	-1.13488	0.854011	3.81082	1.83904	0.482583	0.190836	0.998222	0.483664	0.0253477	0.00602642
20022	0.203012	0.197651	4.08685	1.99406	0.48792	-1.19051	0.883382	3.73867	1.81574	0.485663	0.242148	0.970951	0.486842	0.0299474	0.00633844
20023	0.228992	0.216829	3.55482	1.90024	0.534553	-0.993775	0.929091	3.94615	1.90709	0.483279	0.339307	0.747579	0.507578	0.0322536	0.00651813
20024	0.194332	0.21566	4.00043	1.81696	0.454191	-0.969567	1.04063	3.75885	1.92564	0.512294	0.502391	0.677331	0.482338	0.0435051	0.00679108
20025	0.152828	0.169913	3.8556	1.93707	0.502405	-1.05329	1.01298	3.99129	1.90041	0.476139	0.48859	0.727358	0.489045	0.0442758	0.00707677
20026	0.147466	0.12626	4.02508	1.99764	0.496299	-0.917452	1.0835	4.1655	2.08023	0.499396	0.807989	0.567026	0.497874	0.0532126	0.00726431
20027	0.106004	0.0832341	4.00321	2.02877	0.506786	-0.838852	1.19069	4.45759	2.14816	0.48191	1.37379	0.446377	0.49368	0.0684186	0.00745995
20028	0.0117315	0.046264	4.13401	2.10501	0.509192	-0.711723	1.23513	4.07613	1.97985	0.485717	2.70049	0.261693	0.497538	0.0796523	0.00782753
20029	0.0551021	0.115304	3.85197	2.05605	0.533767	-0.670069	1.33849	3.80507	1.90365	0.500294	2.84512	0.262937	0.517133	0.0863488	0.00805084
20030	-0.00242851	0.048717	4.18178	2.12611	0.508422	-0.621751	1.33953	3.90331	1.99423	0.510908	4.34401	0.19178	0.509622	0.0918553	0.00823743
20031	0.0651447	0.0396987	3.95394	1.88283	0.476191	-0.611497	1.40226	4.16644	2.09768	0.50347	4.05502	0.228922	0.490187	0.104474	0.00854597
