cycle	Zbar1	Gbar1	VP1	VG1	h21	Zbar2	Gbar2	VP2	VG2	h22	h2b	h2b_denom	h2w	Qst	Fst
20000	-0.0823528	-0.0999826	3.89984	2.00192	0.513333	3.77305	-0.176957	4.02806	2.0693	0.513721	0.000398614	7.43205	0.51353	0.000363887	0.000356145
20001	-0.120095	-0.0996679	3.75502	1.93822	0.516169	3.77809	-0.207601	4.13319	2.13275	0.516005	0.000766628	7.59793	0.516083	0.000715251	0.000612546
20002	-0.107578	-0.0975222	3.91909	2.02731	0.517291	3.74006	-0.236721	3.85131	2.01369	0.522858	0.00130883	7.40217	0.52005	0.0011979	0.000855044
20003	-0.0853255	-0.0977513	4.09627	1.99604	0.487283	3.71871	-0.339616	3.9698	1.81466	0.457116	0.00404256	7.23535	0.472436	0.00382502	0.00112213
20004	-0.0041133	-0.0649313	3.89082	1.93529	0.497399	3.59272	-0.359928	4.13265	1.85516	0.448902	0.00672657	6.46862	0.472419	0.00570972	0.00132138
20005	-0.0546944	-0.0414406	3.9575	2.01874	0.510105	3.73834	-0.305143	3.72259	1.80043	0.483651	0.00483342	7.19357	0.497283	0.0045336	0.00156189
20006	-0.0191177	-0.0501279	4.19009	2.03075	0.484656	3.58143	-0.374575	3.68138	1.84841	0.502098	0.0081199	6.48199	0.492814	0.00674171	0.00181551
20007	-0.114505	-0.0823889	3.98338	2.01736	0.506445	3.6258	-0.432448	3.75479	2.02779	0.540055	0.00875928	6.99496	0.522754	0.00752017	0.00218191
20008	0.0523556	-0.0371134	4.15778	2.01954	0.485726	3.52771	-0.476444	3.99205	1.91488	0.479672	0.0159803	6.03905	0.482761	0.0121217	0.00249447
20009	-0.077242	-0.0640174	4.07831	2.04347	0.501058	3.51223	-0.492215	3.73736	1.90652	0.510126	0.0142307	6.44215	0.505394	0.0114772	0.0026863
20010	-0.0153523	-0.0175244	3.85525	2.01507	0.522683	3.51277	-0.497068	4.09104	1.90249	0.465038	0.0184744	6.22382	0.493005	0.01447	0.00292712
20011	-0.0504778	0.00137836	3.65744	1.95798	0.535341	3.44936	-0.56611	3.8933	1.95083	0.501073	0.0262917	6.12444	0.517672	0.0201915	0.00318876
20012	-0.113368	-0.0820589	3.88439	1.97795	0.509203	3.4487	-0.629898	3.87382	1.93687	0.499989	0.0236538	6.34417	0.504602	0.0188149	0.00341333
20013	-0.161201	-0.10773	3.79791	1.9221	0.506096	3.27658	-0.712541	3.5016	1.79069	0.511392	0.0309515	5.90918	0.508636	0.0240504	0.00371154
20014	-0.203394	-0.106423	3.91239	1.85738	0.474743	3.28018	-0.692499	4.03457	1.90479	0.472117	0.0283046	6.06765	0.47341	0.0223265	0.00391188
20015	-0.0541541	-0.0783195	3.82576	1.83733	0.480252	3.29273	-0.756173	3.83175	1.91022	0.498525	0.0410197	5.6008	0.489396	0.0297552	0.00413612
20016	-0.0127382	-0.0185153	4.02822	1.89404	0.470193	3.16388	-0.813701	3.87999	1.8796	0.484435	0.0626625	5.04544	0.477181	0.0402256	0.0043649
20017	-0.126555	-0.0559797	3.88977	2.05395	0.52804	3.1498	-0.81295	3.84426	1.9276	0.501422	0.0533796	5.36725	0.514809	0.0347459	0.0045921
20018	-0.0867117	-0.0745955	4.24607	1.97064	0.464108	3.06972	-0.894711	3.91873	1.91718	0.489236	0.0675081	4.98154	0.476168	0.0414767	0.00492285
20019	-0.0440916	-0.126833	4.01074	1.97157	0.491572	3.03832	-0.979685	3.88913	1.94463	0.500018	0.0765534	4.75064	0.49573	0.0443934	0.00514525
20020	-0.195302	-0.159811	4.04444	1.84598	0.456424	2.94567	-0.994934	3.75346	1.91541	0.510304	0.0706927	4.93284	0.482359	0.0443223	0.005448
20021	-0.214243	-0.181755	4.04256	1.91466	0.473626	3.01566	-0.990819	4.12577	2.00089	0.484974	0.062746	5.21614	0.479357	0.0401365	0.0057017
20022	-0.0631849	-0.137988	3.92044	2.0052	0.511472	3.06693	-1.00996	4.3749	2.04267	0.466908	0.0776035	4.89882	0.487969	0.0448739	0.00590788
20023	-0.0942506	-0.110018	3.98283	1.97324	0.495437	2.99653	-1.0157	4.01658	2.06492	0.514098	0.0858646	4.77647	0.504807	0.0483507	0.00604225
20024	-0.195609	-0.138222	3.68677	1.80577	0.489796	2.99986	-1.04944	4.23936	1.99899	0.47153	0.0813165	5.10551	0.480026	0.0517603	0.00642114
20025	-0.0662348	-0.0860565	4.12852	2.00155	0.484812	2.8569	-1.06268	3.75467	1.82564	0.486233	0.111624	4.27237	0.485489	0.0586772	0.00655682
20026	-0.0468743	-0.125927	4.47041	2.08541	0.466492	2.91484	-1.06338	3.70275	1.87332	0.505928	0.100187	4.38589	0.484358	0.0526055	0.0067795
20027	-0.187271	-0.251959	4.07452	2.16543	0.531457	2.9173	-1.13438	3.72633	1.68229	0.451459	0.0807878	4.81917	0.493243	0.048179	0.00696367
20028	-0.192922	-0.234552	3.8809	1.93582	0.498808	2.87215	-1.18483	3.72164	1.79261	0.481672	0.0961203	4.69734	0.490419	0.0571196	0.00732241
20029	-0.222242	-0.253651	4.04453	1.95624	0.483675	2.72303	-1.21082	3.77604	1.84578	0.488814	0.105616	4.3373	0.486156	0.0568467	0.00753712
20030	-0.105253	-0.177449	4.03224	1.98349	0.491908	2.72896	-1.23919	3.89048	1.90157	0.488775	0.140336	4.01638	0.490369	0.0676652	0.00758925
20031	-0.207457	-0.178148	3.70878	1.82325	0.491603	2.71303	-1.28464	3.65227	1.94892	0.53362	0.143545	4.26461	0.51245	0.075087	0.0078607
