cycle	Zbar1	Gbar1	VP1	VG1	h21	Zbar2	Gbar2	VP2	VG2	h22	h2b	h2b_denom	h2w	Qst	Fst
20000	-0.0451018	-0.018914	3.66976	1.92356	0.524164	4.01217	0.00756163	4.06598	1.88155	0.462753	4.25819e-05	8.23071	0.491886	4.60748e-05	0.000384475
20001	-0.0240487	0.0483252	3.77414	1.88171	0.498581	3.98387	-0.0104064	3.90987	1.90943	0.488361	0.000214736	8.03172	0.493381	0.000227527	0.000628658
20002	0.0288326	0.0677064	4.04961	2.1209	0.523729	3.92516	-0.105216	3.87317	1.86083	0.480441	0.00196966	7.59068	0.502567	0.00187488	0.000901858
20003	0.0952277	0.0632197	4.03931	1.89292	0.468623	3.75626	-0.219066	3.75826	1.99206	0.530048	0.00594525	6.70159	0.498229	0.00510417	0.00118118
20004	0.0403301	0.0444541	3.78909	1.9272	0.508618	3.76059	-0.258961	4.16647	2.00376	0.480925	0.00665162	6.92017	0.494115	0.00582366	0.00150031
20005	0.0722417	0.0495185	3.65515	1.95426	0.534659	3.63197	-0.315004	4.113	2.01473	0.489845	0.0104861	6.33585	0.510931	0.00830431	0.00181985
20006	0.0969554	0.0861473	4.08905	1.86481	0.45605	3.61092	-0.380835	3.78789	1.78493	0.471222	0.0176606	6.17397	0.463346	0.0147249	0.00203784
20007	0.101444	0.118838	3.83241	2.00646	0.523552	3.5421	-0.446559	4.20929	1.8545	0.440574	0.0270038	5.91905	0.480119	0.0202893	0.00228191
20008	0.0133971	0.0491656	3.9398	2.01637	0.511794	3.56868	-0.424017	3.82655	1.98241	0.518066	0.0177137	6.32001	0.514884	0.0138117	0.00255255
20009	0.0638111	0.0359393	3.88788	2.00329	0.515265	3.5455	-0.446755	3.88145	1.96316	0.505779	0.0192205	6.06108	0.510526	0.0144799	0.002763
20010	-0.0556981	-0.0158448	3.96819	1.90145	0.479173	3.46303	-0.509297	3.82884	1.9246	0.502659	0.0196661	6.19073	0.490706	0.0156689	0.00309736
20011	-0.0603701	-0.0238601	4.13047	2.08615	0.505063	3.39278	-0.581137	3.91757	2.0045	0.511669	0.0260442	5.96212	0.508279	0.0186353	0.00340133
20012	-0.100476	-0.0956359	4.05302	2.16696	0.534654	3.36029	-0.648017	3.98181	1.88735	0.473992	0.0254761	5.98846	0.504592	0.0184764	0.00360533
20013	-0.175387	-0.122215	3.96341	2.10295	0.530591	3.2876	-0.695835	4.22353	1.84138	0.435981	0.0274376	5.99614	0.481783	0.0204392	0.00396484
20014	-0.0993021	-0.129272	4.39564	2.08481	0.474291	3.19979	-0.770956	4.0577	1.93203	0.47614	0.0378314	5.44201	0.475179	0.0249988	0.00418878
20015	-0.178779	-0.168333	3.89144	1.9241	0.494443	3.29629	-0.75507	3.89838	1.81854	0.466486	0.0285076	6.03804	0.480452	0.0224899	0.00445912
20016	-0.22713	-0.185152	3.97679	1.96808	0.494892	3.15518	-0.847002	3.9723	1.83601	0.462202	0.0382906	5.72001	0.478556	0.0279959	0.00477036
20017	-0.175877	-0.16607	4.04161	2.01836	0.499393	3.02342	-0.981732	3.93057	2.00949	0.511245	0.0649998	5.11775	0.505237	0.0396756	0.00507003
20018	-0.194541	-0.116404	3.68197	2.0271	0.550549	3.04788	-0.983917	4.10701	2.00152	0.487342	0.0715835	5.25665	0.517221	0.0446396	0.00530799
20019	-0.0602927	-0.0462339	3.8438	2.0301	0.52815	2.94954	-0.996562	3.9467	1.95062	0.494241	0.0996926	4.52954	0.510972	0.0536996	0.00562537
20020	-0.074337	-0.023966	4.09605	1.97256	0.481577	2.77806	-1.12071	3.88906	1.94108	0.499112	0.147839	4.06809	0.490117	0.0713874	0.00592409
20021	-0.05075	-0.0560243	4.22107	2.0563	0.487153	2.88473	-1.1287	3.78787	1.81843	0.480067	0.133529	4.30852	0.483801	0.0691409	0.00638278
20022	-0.0629229	-0.0521424	3.9908	1.95047	0.488742	2.80496	-1.1979	3.71114	1.84007	0.495823	0.159611	4.11236	0.492154	0.0797188	0.0066306
20023	-0.143984	-0.103703	4.23307	1.97756	0.467169	2.81696	-1.21245	3.8002	1.75111	0.460794	0.140218	4.3836	0.464153	0.0761823	0.00675003
20024	-0.151956	-0.143052	4.1751	1.97998	0.474236	2.80627	-1.23645	4.00112	1.86111	0.465146	0.136614	4.37555	0.469788	0.0722273	0.00706864
20025	-0.158196	-0.197538	3.82153	2.00712	0.525214	2.7247	-1.28758	3.9727	1.974	0.496892	0.142965	4.15555	0.510778	0.0694658	0.00735247
20026	-0.16426	-0.226787	3.83424	1.90239	0.496158	2.62117	-1.3244	4.06242	2.13422	0.525356	0.155278	3.87931	0.511179	0.0694653	0.00766625
20027	-0.232793	-0.264485	3.81709	1.9612	0.513794	2.63604	-1.31335	3.95986	2.04409	0.516204	0.133669	4.11509	0.515021	0.0642848	0.00790474
20028	-0.265107	-0.28373	4.12726	2.00648	0.486154	2.77469	-1.28545	3.87218	2.03972	0.526764	0.108592	4.62019	0.505811	0.0584065	0.00811941
20029	-0.352384	-0.385128	4.04575	2.00901	0.496573	2.66178	-1.36117	4.14364	2.0203	0.487567	0.104858	4.54259	0.492016	0.0558352	0.00841238
20030	-0.452888	-0.38688	3.93867	2.02999	0.515401	2.56305	-1.40502	3.62735	1.93516	0.533491	0.113965	4.54794	0.524074	0.061377	0.00885647
20031	-0.323361	-0.281384	3.81604	1.82117	0.477241	2.73509	-1.38661	4.11984	2.10799	0.511668	0.130586	4.67706	0.495113	0.0721497	0.0091521
20032	-0.276921	-0.245648	3.75849	1.96321	0.522341	2.46313	-1.53437	4.34863	2.07685	0.477586	0.221209	3.75395	0.498335	0.0932364	0.00937155
20033	-0.230237	-0.179492	4.4285	2.04308	0.461348	2.49133	-1.51035	4.1148	1.99281	0.484303	0.239124	3.70348	0.472404	0.098912	0.00963827
20034	-0.0456814	-0.132988	4.16222	2.10795	0.506449	2.53291	-1.52632	3.87703	1.96222	0.506113	0.291973	3.32457	0.506287	0.106587	0.00993455
20035	-0.108124	-0.109423	4.34834	2.16348	0.497541	2.42121	-1.55273	4.00859	1.82842	0.456125	0.325618	3.19875	0.477675	0.115456	0.0102796
20036	-0.105341	-0.105294	3.68965	2.01179	0.545253	2.41339	-1.59138	3.56852	1.82576	0.511629	0.348119	3.172	0.528722	0.125831	0.0105598
20037	-0.0612585	-0.120155	4.00781	2.05143	0.511859	2.44003	-1.59421	3.81983	1.80412	0.472304	0.347295	3.12822	0.492557	0.123545	0.0108075
20038	-0.0789466	-0.0704544	4.22993	2.11951	0.501074	2.36861	-1.56999	4.08923	1.81082	0.442826	0.375359	2.99526	0.472443	0.125186	0.0110228
20039	0.0362948	0.0128368	4.30677	2.22475	0.516571	2.4839	-1.57641	4.20465	1.92446	0.457698	0.421596	2.99539	0.487487	0.132137	0.0112455
20040	-0.0320925	0.047631	4.35286	2.16135	0.496535	2.37338	-1.60413	3.91142	1.85112	0.47326	0.471514	2.89315	0.485519	0.145354	0.0114576
20041	0.0311048	0.0781448	4.36636	2.25404	0.516229	2.40072	-1.58383	4.06726	2.02911	0.498888	0.491918	2.80755	0.507866	0.138899	0.0117036
20042	-0.000709675	0.027925	3.97119	1.99975	0.503563	2.51133	-1.56452	4.02694	1.91057	0.474447	0.401862	3.15518	0.488904	0.13957	0.0118244
20043	-0.00377015	0.0762617	3.93085	2.01707	0.513138	2.30228	-1.693	4.11435	1.93262	0.469726	0.588636	2.65893	0.490937	0.165439	0.012097
20044	0.160209	0.13445	4.12614	2.00384	0.485645	2.31619	-1.68836	4.20073	2.01531	0.479752	0.71481	2.32413	0.482672	0.171347	0.0125728
20045	0.108481	0.050415	4.12102	1.95883	0.475326	2.24873	-1.71955	4.11608	1.94777	0.47321	0.683911	2.29034	0.474269	0.167069	0.0127476
20046	0.0262367	0.00201891	4.01519	2.14178	0.533419	2.17205	-1.77391	4.00576	2.06415	0.515297	0.684963	2.30226	0.524368	0.157939	0.0129021
20047	-0.0385911	-0.0774289	3.88785	2.17587	0.559659	2.22774	-1.76597	3.94603	1.97707	0.501028	0.555109	2.56812	0.530126	0.146555	0.0129542
20048	-0.119409	-0.0725131	4.32098	2.21625	0.512905	2.21202	-1.83769	3.96839	1.99983	0.50394	0.573239	2.71777	0.508613	0.156013	0.0131884
20049	-0.172385	-0.147818	4.30837	2.24131	0.520222	2.10172	-1.88106	4.21777	2.14792	0.509254	0.580895	2.58577	0.514796	0.14617	0.0132465
20050	-0.01809	-0.0994964	4.18166	2.0468	0.489472	2.08976	-1.97276	3.97031	2.04655	0.515463	0.789803	2.22152	0.50213	0.176566	0.0134439
20051	-0.135377	-0.090692	3.99374	2.03586	0.509762	1.99054	-1.98036	3.59247	1.87002	0.52054	0.790094	2.25975	0.514866	0.186111	0.0136649
20052	-0.0529332	-0.0844354	3.93698	2.04091	0.518395	2.10071	-1.92737	3.78152	2.0009	0.529125	0.732268	2.31909	0.523652	0.173679	0.013959
20053	-0.170182	-0.0836853	4.40311	2.11285	0.479855	2.17713	-1.91862	4.01007	1.9295	0.481164	0.611082	2.75494	0.480479	0.172416	0.0140837
20054	-0.116597	-0.07832	3.95888	1.84482	0.465996	1.99426	-1.9933	4.06637	1.88264	0.462978	0.823023	2.22786	0.464467	0.197482	0.0143223
20055	-0.0392961	-0.0442133	3.91298	1.90949	0.487989	2.078	-1.95127	3.83667	1.77613	0.462934	0.811272	2.24147	0.475585	0.197958	0.0147253
20056	-0.0668828	-0.0977242	3.54878	1.81198	0.510594	1.97501	-2.04305	3.7694	1.94349	0.515598	0.907654	2.08466	0.513171	0.201307	0.0149191
20057	-0.0905876	-0.0739523	3.88869	1.95337	0.502322	2.04403	-1.99667	3.88582	1.96397	0.505419	0.811321	2.2783	0.50387	0.19097	0.0152151
20058	-0.0206277	-0.024051	3.89675	1.96049	0.503109	1.95218	-1.94045	3.87433	2.00934	0.51863	0.943632	1.94599	0.510847	0.187914	0.0153659
20059	0.00894267	-0.0132626	4.00852	1.95642	0.488065	2.03697	-1.9696	4.18741	2.02289	0.483089	0.930556	2.05644	0.485523	0.193918	0.015571
20060	0.0708594	0.0557743	4.12056	1.99023	0.483	2.08673	-2.02577	4.04982	2.01985	0.49875	1.06622	2.03186	0.490807	0.212758	0.015958
20061	0.0131693	0.0305355	3.79978	2.00663	0.528091	1.95243	-2.07169	4.00386	1.9628	0.490226	1.17513	1.88036	0.508663	0.217819	0.0163981
20062	0.0991958	0.0530229	4.31401	1.95306	0.452725	1.85582	-2.18857	4.01475	2.0541	0.511639	1.62837	1.54287	0.481123	0.238757	0.016604
20063	0.0635294	0.0786492	4.06983	1.86232	0.457593	1.9455	-2.06793	4.02809	1.98293	0.492275	1.30097	1.7709	0.474845	0.230608	0.0166639
20064	0.0477068	0.111947	4.09229	1.8434	0.450456	1.90918	-2.12853	4.36309	2.03709	0.466892	1.44865	1.73255	0.458937	0.24446	0.0168705
20065	0.239099	0.141166	3.84653	1.85744	0.482887	1.8833	-2.10075	4.32402	2.08665	0.482572	1.8592	1.3517	0.48272	0.241705	0.0169273
20066	0.177092	0.157671	4.0113	1.90145	0.474022	1.87094	-2.12658	3.85042	1.99209	0.517369	1.81861	1.43457	0.495252	0.251048	0.0171546
20067	0.180134	0.154778	3.73332	1.91679	0.513427	1.82436	-2.18547	4.20487	2.05748	0.48931	2.02581	1.35174	0.500652	0.256331	0.0173834
20068	0.0883457	0.167305	4.15931	1.93575	0.465402	1.83771	-2.23572	4.16676	2.17404	0.521758	1.88694	1.53013	0.493605	0.26005	0.017444
20069	0.112856	0.11332	3.84467	1.90013	0.494225	1.81388	-2.23486	4.03346	1.99193	0.493853	1.90566	1.44673	0.494034	0.261642	0.0176469
20070	0.0728612	0.0433632	3.75317	1.93129	0.514577	1.69603	-2.25696	3.79103	1.95817	0.516529	2.00841	1.31734	0.515558	0.253891	0.0179241
20071	0.0668929	0.0706411	3.92614	1.99225	0.507432	1.81424	-2.1821	3.68274	2.01086	0.546021	1.66213	1.5266	0.526109	0.24075	0.0180927
20072	0.0928552	0.105848	3.78684	2.02997	0.536059	1.78628	-2.21245	3.82014	2.01666	0.527902	1.87416	1.43385	0.531962	0.249363	0.0184635
20073	0.048037	0.0907301	3.98173	2.06403	0.518376	1.73969	-2.20867	3.76498	1.90262	0.505346	1.84759	1.43084	0.512043	0.250036	0.0187916
20074	0.0998059	0.0610666	4.29719	2.18787	0.509139	1.69393	-2.2712	3.95855	1.95912	0.49491	2.14048	1.27062	0.502316	0.247033	0.0190205
20075	0.103682	0.0720788	3.99118	1.97906	0.495858	1.63884	-2.34898	4.03785	2.09163	0.518007	2.48714	1.17836	0.506997	0.264794	0.0191349
20076	-0.0118339	-0.0117426	4.16831	2.06183	0.494643	1.67783	-2.34425	4.19058	2.23141	0.532482	1.90567	1.42747	0.513613	0.240681	0.0194955
20077	0.0140673	0.0351491	4.35513	2.03917	0.468222	1.57432	-2.36456	4.02949	2.20074	0.546159	2.36554	1.21719	0.505677	0.253575	0.0197319
20078	0.0835116	0.0402278	3.50495	1.91157	0.545391	1.59963	-2.41168	4.16624	2.22117	0.533136	2.61544	1.1493	0.538735	0.266784	0.0199237
20079	0.172593	0.0883307	4.00486	1.88236	0.47002	1.59715	-2.36932	4.07789	2.1423	0.525345	2.97635	1.01468	0.497932	0.272927	0.0199983
20080	0.120273	0.124816	3.80244	1.90718	0.501568	1.63954	-2.39577	4.1622	2.06922	0.497147	2.75256	1.15408	0.499258	0.285532	0.0201511
20081	0.258867	0.143144	4.06533	1.78519	0.439125	1.56779	-2.40644	4.16351	2.08543	0.500883	3.79413	0.856635	0.470372	0.295806	0.0203736
20082	0.111279	0.160386	3.74666	1.86214	0.497013	1.60952	-2.35645	4.09044	2.08072	0.508678	2.82194	1.12236	0.503101	0.286653	0.0206402
20083	0.135426	0.146251	3.85153	1.83846	0.477333	1.61632	-2.4066	4.38786	2.13173	0.485825	2.97167	1.09653	0.481855	0.291071	0.0210944
20084	0.124386	0.12489	3.7566	1.79111	0.47679	1.4275	-2.45753	4.18866	2.03098	0.484875	3.92728	0.84905	0.481052	0.303828	0.021486
20085	0.138113	0.0755583	3.77083	1.6857	0.447037	1.66923	-2.39768	3.99003	2.06868	0.518463	2.60926	1.17216	0.483759	0.289532	0.0217931
20086	0.141292	0.110928	3.7668	1.73276	0.460008	1.62976	-2.37025	4.12183	2.00284	0.485911	2.77865	1.10777	0.473542	0.291887	0.0217765
20087	0.0117657	0.0628921	3.90776	1.89779	0.485647	1.5761	-2.44045	4.03697	1.94568	0.481965	2.56083	1.22358	0.483776	0.289685	0.0217522
20088	0.0541994	0.036588	3.96207	1.93739	0.488985	1.60945	-2.38439	4.04421	2.02681	0.501163	2.42314	1.20941	0.495137	0.269973	0.0221723
20089	-0.0199187	0.00843653	4.08152	1.95357	0.478639	1.66494	-2.34097	4.04006	1.97753	0.489482	1.94441	1.41938	0.484033	0.259918	0.0223323
20090	0.0660782	0.0331656	3.571	1.78866	0.500885	1.62761	-2.41851	4.10935	2.07499	0.504943	2.46504	1.2192	0.503056	0.280122	0.0225648
20091	-0.116381	-0.0595428	3.95781	1.88716	0.476819	1.51844	-2.50827	4.07867	2.05063	0.502768	2.24357	1.33632	0.489989	0.275823	0.022875
20092	-0.0887861	-0.0754966	3.77168	1.86706	0.495022	1.38076	-2.59794	3.80431	1.84694	0.485486	2.94628	1.07979	0.490234	0.299969	0.0232229
20093	-0.0219446	-0.0171193	3.7753	1.90243	0.503914	1.33244	-2.69155	3.95433	1.84922	0.467644	3.89923	0.917182	0.485359	0.322892	0.0235589
20094	-0.0763167	-0.016426	3.72353	1.83241	0.492117	1.28553	-2.7097	3.94896	1.87491	0.474786	3.91113	0.927319	0.483197	0.328586	0.0234427
20095	0.116832	0.0619689	3.81713	1.97939	0.518554	1.26147	-2.69116	3.89765	1.94901	0.500049	5.78515	0.655101	0.509205	0.325512	0.0238764
20096	0.140142	0.098475	4.01052	1.90488	0.474971	1.39291	-2.6578	3.65141	1.94196	0.531839	4.84066	0.784712	0.502072	0.330641	0.0242536
20097	0.0637511	0.0702132	3.85873	1.89823	0.491931	1.37788	-2.60905	3.84754	1.96253	0.510074	4.15679	0.863461	0.500989	0.317438	0.024696
20098	0.0414213	0.0853828	4.13987	1.9033	0.459748	1.46091	-2.56977	3.80948	2.00838	0.527206	3.49878	1.00747	0.492075	0.310719	0.0248878
20099	0.0265896	0.0808406	3.90319	1.99145	0.510211	1.42709	-2.55717	3.99091	2.02088	0.506372	3.54801	0.980705	0.50827	0.302564	0.025341
20100	0.0992452	0.0787741	4.00588	2.13599	0.533214	1.42059	-2.53473	4.23775	1.97895	0.466982	3.9121	0.872982	0.499166	0.293377	0.0254258
20101	0.148824	0.103971	4.24331	2.07839	0.489803	1.43555	-2.56351	4.13357	2.10549	0.509364	4.29765	0.827831	0.499455	0.298434	0.0256718
20102	0.0104447	0.110921	3.95313	1.95531	0.494622	1.53141	-2.50849	4.52299	2.1225	0.469269	2.96598	1.15667	0.481093	0.296201	0.0259191
20103	0.124784	0.106633	3.8597	1.93421	0.501129	1.4981	-2.50087	4.14983	2.02928	0.489003	3.60502	0.943004	0.494846	0.300245	0.0260227
20104	0.21089	0.151872	3.90448	1.88246	0.482129	1.33681	-2.61912	4.05458	2.05911	0.507847	6.05694	0.633851	0.49523	0.327622	0.0262954
20105	0.203237	0.193338	4.27318	1.98308	0.464076	1.3442	-2.66907	4.23609	2.21359	0.522553	6.29393	0.650893	0.493187	0.328106	0.0267316
20106	0.0991543	0.198211	4.03498	2.07611	0.514528	1.27818	-2.70147	3.9488	2.08814	0.528803	6.04856	0.695052	0.521589	0.335563	0.0267795
20107	0.142921	0.140471	3.85989	2.09744	0.543394	1.36652	-2.67199	3.96296	1.94813	0.491585	5.28318	0.748593	0.517149	0.328429	0.0268457
20108	0.143037	0.116388	4.2527	2.18871	0.514664	1.21983	-2.74767	3.96581	2.02541	0.510718	7.07456	0.579739	0.51276	0.327446	0.0270127
20109	0.150008	0.119628	3.98669	2.09517	0.525543	1.20154	-2.77993	3.80185	1.96414	0.516628	7.60355	0.552864	0.521191	0.341259	0.0272151
20110	0.106773	0.120138	4.4643	2.16785	0.485598	1.28179	-2.75295	4.14823	2.08098	0.501656	5.97879	0.690328	0.493332	0.327027	0.0274622
20111	0.0261673	0.118845	4.18943	2.05141	0.489662	1.23796	-2.72913	4.21384	2.14971	0.510154	5.5235	0.734225	0.499938	0.32565	0.0276114
20112	0.127924	0.115997	4.15614	2.06418	0.496659	1.20357	-2.72859	4.14054	2.14962	0.519164	6.99364	0.578504	0.50789	0.324466	0.0277854
