cycle	Zbar1	Gbar1	VP1	VG1	h21	Zbar2	Gbar2	VP2	VG2	h22	h2b	h2b_denom	h2w	Qst	Fst
20000	-0.352277	-0.409843	3.60378	1.56635	0.434642	-2.43705	-0.380408	3.81089	1.70252	0.44675	0.000199344	2.17315	0.440865	6.62906e-05	0.000367951
20001	-0.452014	-0.383864	3.60565	1.62463	0.45058	-2.33352	-0.300281	3.7409	1.87642	0.501596	0.00197342	1.77004	0.476557	0.000498855	0.000646074
20002	-0.388798	-0.426964	3.74513	1.69565	0.45276	-2.2843	-0.173143	4.00947	1.8285	0.456045	0.0179311	1.79646	0.454458	0.00455175	0.00089678
20003	-0.460219	-0.442338	4.01916	1.90268	0.473403	-2.21992	-0.179989	3.76534	1.75522	0.466152	0.022227	1.54827	0.469896	0.00468429	0.00115134
20004	-0.48537	-0.435108	3.75369	1.61663	0.430678	-2.11693	-0.116946	3.70441	1.72091	0.464556	0.0380271	1.33099	0.447505	0.00752915	0.0014138
20005	-0.468474	-0.439477	3.64283	1.79311	0.49223	-2.04132	-0.0299775	3.76292	1.78896	0.475417	0.0677853	1.23692	0.483687	0.0115738	0.00170449
20006	-0.472858	-0.408817	4.1782	1.85167	0.443174	-1.9447	0.0210111	3.80021	1.68123	0.442405	0.0852846	1.08315	0.442807	0.0129114	0.00191214
20007	-0.500139	-0.503078	4.0196	1.85506	0.461504	-2.00331	0.0181707	3.55917	1.67793	0.471438	0.120247	1.12975	0.46617	0.0188725	0.00228471
20008	-0.486386	-0.478198	3.95177	1.99124	0.503884	-1.94181	0.0777913	3.73166	1.80024	0.482423	0.145933	1.05913	0.493461	0.0199855	0.00248313
20009	-0.297723	-0.347788	4.05167	1.95721	0.483063	-1.74988	0.176527	3.97959	1.95614	0.491544	0.130363	1.05438	0.487265	0.0172675	0.00274583
20010	-0.363279	-0.29547	4.36342	2.02069	0.463097	-1.74967	0.221773	4.17896	1.83977	0.440246	0.139194	0.961033	0.451919	0.017039	0.00298554
20011	-0.25902	-0.273087	3.68424	1.80572	0.49012	-1.77854	0.236369	3.60185	1.84103	0.511134	0.112409	1.15447	0.500508	0.0174905	0.00329217
20012	-0.332892	-0.337617	3.69974	1.84335	0.498239	-1.62304	0.336607	3.78424	1.95519	0.516667	0.273106	0.832239	0.507557	0.029063	0.00361621
20013	-0.214007	-0.32262	3.91014	1.86664	0.477383	-1.6634	0.419731	3.75631	1.82217	0.485095	0.262328	1.05038	0.481162	0.0360212	0.0038109
20014	-0.319881	-0.367939	3.94359	1.86743	0.473537	-1.61985	0.450368	3.70124	1.81026	0.489096	0.396248	0.844958	0.48107	0.0435584	0.00408045
20015	-0.247501	-0.313507	3.68121	1.81321	0.492558	-1.52338	0.453909	3.52619	1.78811	0.507095	0.361778	0.813933	0.49967	0.0392958	0.00440711
20016	-0.300442	-0.261129	3.72199	1.71593	0.461025	-1.52191	0.469419	3.72517	1.83658	0.49302	0.357712	0.745991	0.477029	0.0362159	0.00460892
20017	-0.247225	-0.262499	3.74434	1.70046	0.454142	-1.43462	0.509862	3.78022	1.82239	0.482087	0.423107	0.704953	0.468181	0.0406338	0.00471532
20018	-0.271131	-0.299937	3.75142	1.69938	0.452996	-1.42942	0.592373	3.88959	1.81686	0.467108	0.59347	0.670815	0.46018	0.0536024	0.00491219
20019	-0.318893	-0.347664	3.62592	1.75261	0.483356	-1.43961	0.627193	4.12046	1.86022	0.45146	0.75664	0.628004	0.46639	0.0617331	0.00521501
20020	-0.323329	-0.333884	3.65505	1.64015	0.448736	-1.32034	0.669903	3.68167	1.74409	0.473722	1.01364	0.497016	0.461275	0.0693083	0.00541232
20021	-0.345833	-0.336144	3.72591	1.75935	0.472192	-1.40919	0.631729	3.56611	1.75543	0.492253	0.828479	0.56536	0.482003	0.0624984	0.00553741
20022	-0.331879	-0.362559	3.58914	1.86201	0.518789	-1.39226	0.617	3.70761	1.79185	0.48329	0.853365	0.562208	0.500751	0.0616365	0.00573248
20023	-0.349774	-0.358503	3.70625	1.83568	0.495293	-1.31567	0.658588	3.79782	1.82522	0.480596	1.10881	0.466478	0.487855	0.066013	0.00594116
20024	-0.319058	-0.297186	3.81944	1.71694	0.449527	-1.2932	0.711333	3.78789	1.78815	0.47207	1.07183	0.474476	0.460752	0.06767	0.00616209
20025	-0.359171	-0.30064	3.86515	1.72415	0.446076	-1.18245	0.803447	3.76423	1.75893	0.467275	1.79851	0.338894	0.456535	0.0804924	0.00643269
20026	-0.232134	-0.275086	3.89416	1.8026	0.462897	-1.16707	0.836504	3.78488	1.67473	0.44248	1.4136	0.437051	0.452834	0.0816246	0.00669538
20027	-0.346329	-0.234108	3.4604	1.70778	0.493522	-1.04321	0.950488	3.46204	1.60601	0.46389	2.88949	0.242823	0.478703	0.0957745	0.00700561
20028	-0.206455	-0.212683	3.69225	1.70669	0.462235	-1.01621	0.9648	3.39041	1.65438	0.487957	2.11447	0.327852	0.474548	0.0935285	0.00720121
20029	-0.169369	-0.165697	3.82277	1.90067	0.497197	-0.950867	1.02658	3.82508	1.68967	0.441733	2.32754	0.30537	0.469457	0.0901085	0.00750034
20030	-0.33058	-0.226878	4.15061	1.87021	0.450586	-0.872185	1.03406	3.72059	1.81317	0.487335	5.42028	0.146668	0.467957	0.0974476	0.00767672
20031	-0.251605	-0.253144	3.99123	1.942	0.486566	-0.959728	1.13447	3.59856	1.76683	0.490982	3.83992	0.250719	0.48866	0.114931	0.00781005
20032	-0.204681	-0.204687	3.87363	1.9245	0.496822	-0.829961	1.11859	3.88246	1.89078	0.487006	4.47873	0.195488	0.491908	0.102977	0.00804452
20033	-0.212873	-0.184868	3.61361	1.85029	0.512033	-0.845761	1.14544	4.03376	1.79539	0.44509	4.41826	0.200274	0.476722	0.108272	0.00837089
20034	-0.273314	-0.21603	3.50276	1.67026	0.476841	-0.693075	1.2634	3.67997	1.75982	0.478216	12.4218	0.0880997	0.477545	0.137637	0.00861611
20035	-0.151939	-0.222131	3.93447	1.71052	0.434752	-0.930186	1.21299	4.00844	1.81112	0.451827	3.40051	0.302834	0.443369	0.127614	0.00893441
20036	-0.102192	-0.145057	3.69958	1.64655	0.445064	-0.822137	1.22126	3.81441	1.85058	0.485156	3.60165	0.259161	0.465416	0.117792	0.00920767
20037	-0.101507	-0.120103	3.5423	1.66338	0.469575	-0.732889	1.24228	3.63456	1.77023	0.487056	4.656	0.199322	0.478428	0.119105	0.00929461
20038	-0.0666412	-0.120783	3.76062	1.6966	0.451148	-0.672605	1.31385	3.39485	1.67875	0.494499	5.60515	0.183596	0.471716	0.132334	0.00948201
20039	0.0103213	-0.0616184	3.49053	1.546	0.442913	-0.597133	1.40441	3.80014	1.77459	0.46698	5.8245	0.184501	0.455458	0.139336	0.00976308
20040	-0.00632032	-0.0155491	3.59538	1.69717	0.472042	-0.558808	1.45679	3.78092	1.65969	0.438965	7.10187	0.152622	0.455088	0.139064	0.00984991
20041	-0.051715	-0.0440227	3.63491	1.63024	0.448495	-0.557044	1.51956	3.96517	1.79354	0.452323	9.57398	0.127679	0.450493	0.151539	0.010087
20042	0.0473977	-0.00442397	3.63564	1.72695	0.475005	-0.417763	1.54923	4.19119	1.84476	0.440151	11.1558	0.108187	0.456341	0.144597	0.0103224
20043	-0.0144367	0.0710832	3.55037	1.73534	0.488778	-0.490149	1.55876	3.80082	1.75859	0.462686	9.77977	0.113151	0.475288	0.136769	0.0105717
20044	-0.0413039	0.00970542	3.59717	1.7513	0.486853	-0.501115	1.50299	3.51698	1.62564	0.462226	10.5469	0.105713	0.474679	0.141752	0.0107055
20045	-0.0292577	-0.0407796	3.75983	1.87933	0.499844	-0.46209	1.53447	3.77921	1.71444	0.453651	13.2452	0.093672	0.476688	0.147271	0.0110374
20046	-0.144654	-0.0847035	3.8153	1.84198	0.482788	-0.352136	1.62721	3.90643	1.72886	0.442568	68.077	0.0215245	0.462441	0.170318	0.0113375
20047	-0.0893193	-0.0491286	3.84328	1.71929	0.44735	-0.373415	1.63281	3.82634	1.7214	0.449881	35.0501	0.0403552	0.448612	0.170573	0.0115556
20048	-0.0297259	-0.0807045	4.00429	1.69718	0.42384	-0.307821	1.62267	3.62623	1.72064	0.474498	37.5176	0.0386684	0.447914	0.175148	0.0119394
20049	-0.0944541	-0.0986345	3.96705	1.74383	0.439579	-0.340838	1.64831	3.67346	1.67783	0.456743	50.2731	0.0303525	0.447831	0.182399	0.0120939
20050	-0.0633802	-0.0403113	3.95146	1.64817	0.417106	-0.322528	1.65415	3.38668	1.60115	0.472778	42.7532	0.0335788	0.4428	0.181011	0.0124567
20051	-0.0534916	-0.0441441	3.46884	1.61748	0.46629	-0.315011	1.63205	3.58661	1.68026	0.468482	41.0806	0.0341963	0.467404	0.175667	0.012793
20052	-0.112284	-0.0614627	3.62965	1.61537	0.445048	-0.463772	1.56568	3.62352	1.91819	0.529371	21.4304	0.0617721	0.487174	0.157833	0.013196
20053	-0.146475	-0.10154	3.73647	1.62483	0.434857	-0.314441	1.64342	3.65546	1.78253	0.487634	107.928	0.0141062	0.460957	0.182684	0.0134557
20054	-0.296043	-0.234067	3.75705	1.71	0.455144	-0.465101	1.51436	3.95163	1.83524	0.464427	106.96	0.0142904	0.459902	0.177413	0.0135757
20055	-0.343558	-0.297334	3.6489	1.8122	0.496642	-0.617881	1.37589	3.73081	1.77426	0.47557	37.2038	0.0376265	0.485989	0.163358	0.01391
20056	-0.256597	-0.208336	3.49506	1.63604	0.468101	-0.601892	1.40001	3.66092	1.73742	0.474587	21.696	0.0596142	0.471419	0.16093	0.0141301
20057	-0.137196	-0.166453	3.70373	1.64744	0.444806	-0.512309	1.42792	3.6985	1.95015	0.527282	18.0656	0.070355	0.486015	0.150191	0.0143358
20058	-0.208657	-0.169018	3.9089	1.73911	0.44491	-0.492421	1.50284	3.89954	1.7923	0.459618	34.7124	0.0402611	0.452255	0.165258	0.0145195
20059	-0.178309	-0.190839	4.15426	1.77045	0.426177	-0.446722	1.56714	3.92059	1.8023	0.459702	42.8964	0.0360226	0.442454	0.177876	0.0147684
20060	-0.234283	-0.202026	3.73499	1.70649	0.456893	-0.414314	1.54501	3.57162	1.82498	0.510967	94.1687	0.0162057	0.483326	0.17775	0.0149798
20061	-0.199476	-0.187875	3.79155	1.72765	0.455658	-0.389824	1.55571	3.80988	1.76947	0.464443	83.9055	0.0181162	0.460061	0.178602	0.0152255
20062	-0.203417	-0.200958	3.58996	1.70591	0.475189	-0.453632	1.61111	3.84315	1.74155	0.453156	52.4472	0.0313039	0.463797	0.1924	0.0155751
20063	-0.268177	-0.136388	3.95116	1.74303	0.441145	-0.346536	1.65889	3.93397	1.84358	0.46863	524.908	0.00307008	0.454858	0.183519	0.0158116
20064	-0.0998855	-0.0941693	3.89411	1.83467	0.47114	-0.248786	1.66446	3.4652	1.67678	0.483891	139.494	0.0110857	0.477144	0.180531	0.0159627
20065	-0.142801	-0.0975845	3.30582	1.78347	0.539494	-0.394454	1.64405	3.82563	1.60722	0.420119	47.8974	0.0316645	0.475456	0.182847	0.0158912
20066	-0.0380608	-0.0743089	3.79252	1.74553	0.460257	-0.331326	1.68035	3.83313	1.64995	0.430445	35.7982	0.0430023	0.445272	0.18487	0.0159755
20067	-0.055299	-0.0719567	3.80568	1.8383	0.483041	-0.278463	1.71704	3.76678	1.74056	0.462082	64.2642	0.0249012	0.472615	0.182794	0.016352
20068	-0.172068	-0.152981	4.01121	1.91314	0.476947	-0.238036	1.7555	3.6894	1.68271	0.456094	836.979	0.00217585	0.466956	0.202142	0.0165878
20069	-0.252147	-0.204124	3.92761	1.8912	0.481515	-0.185828	1.79622	3.8763	1.80447	0.465513	909.78	0.00219908	0.473567	0.213103	0.0169199
20070	-0.306836	-0.296275	3.92383	1.91753	0.488688	-0.080657	1.83237	3.55662	1.69497	0.476567	88.5733	0.0255785	0.482925	0.238809	0.0171552
20071	-0.162776	-0.161614	3.9308	1.82441	0.464131	-0.0998981	1.92449	3.84168	1.73569	0.451806	1100.71	0.00197682	0.458039	0.234156	0.017696
20072	-0.21006	-0.180417	3.90046	1.87401	0.480459	0.0104728	1.9718	3.86156	1.77983	0.46091	95.2413	0.0243174	0.470734	0.240749	0.0179327
20073	-0.30035	-0.258247	4.08086	1.99224	0.488191	-0.0906529	1.96776	4.01121	1.88175	0.469124	112.686	0.0219864	0.478739	0.242382	0.0182102
20074	-0.275482	-0.198834	3.96648	1.79001	0.451284	0.0392844	1.99461	3.80972	1.9026	0.499408	48.5598	0.0495389	0.474861	0.245792	0.0184655
20075	-0.260024	-0.226382	4.08903	1.85696	0.454132	-0.117129	1.96061	4.12662	1.77551	0.430258	234.241	0.0102094	0.44214	0.247749	0.0186971
20076	-0.207115	-0.212986	3.98418	1.91241	0.480001	-0.00911091	2.06463	3.72888	1.78786	0.479464	132.317	0.0196027	0.479741	0.259621	0.0190523
20077	-0.293066	-0.226178	3.95331	1.78612	0.451805	0.0577471	2.04486	3.3472	1.66123	0.496305	41.9078	0.0615351	0.472208	0.272311	0.0192803
20078	-0.109784	-0.218038	3.5437	1.78801	0.50456	0.0981592	2.10223	3.70576	1.61155	0.434876	124.505	0.0216202	0.468939	0.283722	0.0195329
20079	-0.337038	-0.309237	4.0821	1.82401	0.446833	0.143239	2.10024	3.58265	1.67541	0.467644	25.1687	0.115333	0.45656	0.293266	0.0197517
20080	-0.280567	-0.343448	3.75444	1.80422	0.480557	0.103804	2.06657	3.86383	1.82539	0.47243	39.313	0.0738707	0.476435	0.285844	0.0199497
20081	-0.345782	-0.349744	3.75888	1.74605	0.464512	0.0117377	1.98281	3.9691	1.93863	0.48843	42.5662	0.0639103	0.476796	0.26972	0.0199622
20082	-0.37588	-0.326674	3.62412	1.71549	0.473355	-0.046877	1.9809	3.7065	1.80827	0.487865	49.1939	0.0541216	0.480691	0.274297	0.020379
20083	-0.327818	-0.303048	3.67307	1.81556	0.49429	-0.0515547	1.97094	3.72693	1.83726	0.492969	67.753	0.0381608	0.493624	0.261492	0.0205634
20084	-0.368499	-0.360212	3.91375	1.90952	0.4879	-0.110212	1.98741	4.0791	1.89178	0.463775	82.6141	0.0333559	0.475588	0.266133	0.0209256
20085	-0.344094	-0.386624	3.96776	1.81255	0.456819	0.0379963	1.99746	3.84833	1.77868	0.462196	38.9321	0.0729967	0.459466	0.283602	0.0212708
20086	-0.328742	-0.379427	3.75659	1.73136	0.460886	-0.0353883	1.92915	3.77704	1.73949	0.460543	61.9304	0.0430282	0.460714	0.277492	0.0216027
20087	-0.449477	-0.369007	3.69672	1.81238	0.490267	-0.0280697	1.98006	3.89091	1.79124	0.460366	31.0733	0.088792	0.474934	0.276939	0.0218388
20088	-0.362235	-0.360642	3.84543	1.76551	0.45912	-0.0785352	1.95991	3.70756	1.67569	0.451965	66.9061	0.0402427	0.455608	0.281304	0.0220777
20089	-0.351287	-0.295758	3.89238	1.8128	0.46573	-0.0311671	1.94916	3.46058	1.78102	0.51466	49.1788	0.0512383	0.488759	0.259673	0.0223219
20090	-0.243942	-0.27894	3.6256	1.63611	0.451266	-0.124041	1.97987	3.70291	1.73782	0.469311	354.91	0.00718804	0.460384	0.274442	0.0224645
20091	-0.3647	-0.296779	3.83733	1.75543	0.457461	0.00493299	2.02355	3.8176	1.73055	0.453308	39.4056	0.0683144	0.45539	0.278659	0.0225953
20092	-0.262867	-0.296117	3.75904	1.62007	0.430981	0.0653506	2.07459	3.41658	1.77833	0.520501	52.1714	0.0538635	0.473605	0.292614	0.0229614
20093	-0.311302	-0.312408	3.67549	1.74682	0.475261	0.0688387	2.07866	3.72987	1.6347	0.438273	39.5636	0.0722534	0.456631	0.297206	0.0231627
20094	-0.209618	-0.189355	3.74714	1.70562	0.45518	-0.00660252	2.00987	3.82948	1.6707	0.436272	117.349	0.0206077	0.445623	0.263788	0.0234229
20095	-0.226542	-0.241279	3.946	1.86969	0.473819	0.00643584	2.01246	3.79991	1.63779	0.431008	93.5796	0.0271393	0.452817	0.265903	0.023617
20096	-0.214753	-0.222632	3.83711	1.85582	0.483649	-0.0139571	2.00325	3.7813	1.61957	0.42831	122.883	0.0201596	0.456182	0.262853	0.0239518
20097	-0.210029	-0.210556	3.55056	1.78217	0.50194	0.0927239	2.09966	3.61684	1.59672	0.44147	58.2278	0.0458296	0.471425	0.283197	0.0240959
20098	-0.167824	-0.240991	3.98526	1.76091	0.441856	0.17908	2.1738	3.89701	1.82327	0.467863	48.4552	0.0601711	0.454714	0.289235	0.0242622
20099	-0.263289	-0.251326	3.60941	1.73371	0.480329	0.258522	2.18997	4.12822	1.96421	0.475801	21.8884	0.136144	0.477913	0.287306	0.024584
20100	-0.353059	-0.321738	4.02854	1.91414	0.475143	0.208569	2.24934	3.65994	1.85644	0.507231	20.9572	0.157713	0.490418	0.304837	0.0246753
20101	-0.345068	-0.273974	3.95566	1.83177	0.463076	0.319336	2.29112	3.29658	1.58815	0.481758	14.9053	0.220716	0.471568	0.324883	0.0249259
20102	-0.336884	-0.286192	3.89032	1.83678	0.47214	0.283628	2.30295	3.77071	1.65329	0.438457	17.4106	0.192517	0.455562	0.324524	0.0251443
20103	-0.262522	-0.232635	3.72968	1.78718	0.479178	0.220416	2.2668	3.80706	1.77	0.464925	26.7855	0.116614	0.471978	0.305204	0.0254924
20104	-0.227254	-0.206854	3.84135	1.81711	0.47304	0.353551	2.34446	3.63924	1.86544	0.51259	19.2959	0.168667	0.492281	0.306574	0.0256932
20105	-0.227428	-0.227404	4.00751	2.03827	0.508612	0.411735	2.37476	3.65622	1.85349	0.506941	16.5747	0.204264	0.507815	0.303229	0.025799
20106	-0.270187	-0.23168	3.87464	1.82514	0.471046	0.37777	2.39554	3.69283	1.92187	0.520431	16.44	0.209924	0.495146	0.315421	0.0260568
20107	-0.261692	-0.202006	3.57294	1.75373	0.490837	0.404707	2.3978	3.9207	1.78229	0.454584	15.2199	0.222044	0.47187	0.323459	0.0265014
20108	-0.1843	-0.207959	3.42215	1.64654	0.481142	0.375979	2.41894	3.61863	1.61084	0.445152	21.9826	0.156956	0.462645	0.346353	0.0268594
20109	-0.237564	-0.259151	3.68021	1.70821	0.46416	0.45329	2.3951	3.69735	1.63125	0.441194	14.7608	0.23864	0.45265	0.34541	0.0270713
